Date,NIFTY50,,,
12-31-2013,"6,307.35",,,
12-30-2013,"6,336.40",,,
12-27-2013,"6,292.80",,,
12-26-2013,"6,270.10",,,
12-24-2013,"6,296.45",,,
12-23-2013,"6,267.20",,,
12-20-2013,"6,179.95",,,
12-19-2013,"6,253.90",,,
12-18-2013,"6,129.95",,,
12-17-2013,"6,178.20",,,
12-16-2013,"6,168.35",,,
12-13-2013,"6,201.30",,,
12-12-2013,"6,276.75",,,
12-11-2013,"6,307.20",,,
12-10-2013,"6,354.70",,,
12-09-2013,"6,415.00",,,
12-06-2013,"6,234.40",,,
12-05-2013,"6,262.45",,,
12-04-2013,"6,187.95",,,
12-03-2013,"6,204.25",,,
12-02-2013,"6,171.15",,,
11-29-2013,"6,103.90",,,
11-28-2013,"6,092.00",,,
11-27-2013,"6,062.70",,,
11-26-2013,"6,099.25",,,
11-25-2013,"6,035.95",,,
11-22-2013,"6,027.35",,,
11-21-2013,"6,096.50",,,
11-20-2013,"6,186.85",,,
11-19-2013,"6,197.25",,,
11-18-2013,"6,111.05",,,
11-14-2013,"6,037.00",,,
11-13-2013,"5,998.85",,,
11-12-2013,"6,087.25",,,
11-11-2013,"6,110.40",,,
11-08-2013,"6,170.15",,,
11-07-2013,"6,228.90",,,
11-06-2013,"6,260.55",,,
11-05-2013,"6,282.15",,,
11-01-2013,"6,289.75",,,
10-31-2013,"6,237.15",,,
10-30-2013,"6,230.80",,,
10-29-2013,"6,107.55",,,
10-28-2013,"6,155.10",,,
10-25-2013,"6,154.00",,,
10-24-2013,"6,162.80",,,
10-23-2013,"6,209.55",,,
10-22-2013,"6,192.30",,,
10-21-2013,"6,202.00",,,
10-18-2013,"6,070.90",,,
10-17-2013,"6,098.50",,,
10-15-2013,"6,147.55",,,
10-14-2013,"6,093.00",,,
10-11-2013,"6,104.85",,,
10-10-2013,"6,001.05",,,
10-09-2013,"5,893.25",,,
10-08-2013,"5,975.00",,,
10-07-2013,"5,889.05",,,
10-04-2013,"5,891.30",,,
10-03-2013,"5,819.10",,,
10-01-2013,"5,756.10",,,
09-30-2013,"5,801.05",,,
09-27-2013,"5,905.55",,,
09-26-2013,"5,872.80",,,
09-25-2013,"5,901.55",,,
09-24-2013,"5,855.00",,,
09-23-2013,"5,945.80",,,
09-20-2013,"6,104.55",,,
09-19-2013,"6,044.15",,,
09-18-2013,"5,872.75",,,
09-17-2013,"5,824.20",,,
09-16-2013,"5,930.30",,,
09-13-2013,"5,828.00",,,
09-12-2013,"5,931.15",,,
09-11-2013,"5,887.25",,,
09-10-2013,"5,738.50",,,
09-06-2013,"5,617.45",,,
09-05-2013,"5,553.75",,,
09-04-2013,"5,358.65",,,
09-03-2013,"5,574.70",,,
09-02-2013,"5,480.25",,,
08-30-2013,"5,407.45",,,
08-29-2013,"5,316.50",,,
08-28-2013,"5,233.45",,,
08-27-2013,"5,426.50",,,
08-26-2013,"5,499.40",,,
08-23-2013,"5,428.75",,,
08-22-2013,"5,282.80",,,
08-21-2013,"5,494.45",,,
