Date,Open,High,Low,Close
12/31/2013,"21,177.77","21,230.88","21,122.68","21,170.68"
12/30/2013,"21,260.15","21,304.70","21,089.21","21,143.01"
12/27/2013,"21,114.49","21,235.14","21,113.25","21,193.58"
12/26/2013,"21,051.00","21,135.85","21,013.14","21,074.59"
12/24/2013,"21,127.66","21,156.92","21,010.65","21,032.71"
12/23/2013,"21,080.54","21,207.89","21,059.12","21,101.03"
12/20/2013,"20,792.37","21,117.99","20,745.94","21,079.72"
12/19/2013,"20,959.80","21,017.45","20,646.03","20,708.62"
12/18/2013,"20,568.70","20,917.57","20,568.70","20,859.86"
12/17/2013,"20,732.44","20,784.03","20,594.99","20,612.14"
12/16/2013,"20,714.26","20,764.52","20,637.77","20,659.52"
12/13/2013,"20,867.17","20,867.17","20,692.67","20,715.58"
12-12-2013,"21,101.05","21,103.80","20,901.47","20,925.61"
12-11-2013,"21,191.27","21,215.94","21,069.45","21,171.41"
12-10-2013,"21,293.58","21,327.75","21,175.08","21,255.26"
12-09-2013,"21,416.67","21,483.74","21,282.64","21,326.42"
12-06-2013,"20,955.74","21,049.84","20,922.45","20,996.53"
12-05-2013,"20,992.25","21,165.60","20,929.20","20,957.81"
12-04-2013,"20,839.45","20,863.37","20,673.62","20,708.71"
12-03-2013,"20,857.85","20,927.05","20,817.75","20,854.92"
12-02-2013,"20,771.27","20,941.00","20,770.51","20,898.01"
11/29/2013,"20,558.93","20,819.77","20,558.93","20,791.93"
11/28/2013,"20,522.36","20,606.38","20,461.51","20,534.91"
11/27/2013,"20,449.00","20,482.67","20,348.06","20,420.26"
11/26/2013,"20,604.27","20,604.27","20,390.62","20,425.02"
11/25/2013,"20,326.66","20,626.15","20,326.66","20,605.08"
11/22/2013,"20,316.58","20,388.12","20,137.67","20,217.39"
11/21/2013,"20,579.26","20,579.26","20,189.23","20,229.05"
11/20/2013,"20,857.01","20,895.30","20,579.94","20,635.13"
11/19/2013,"20,870.16","20,934.40","20,828.69","20,890.82"
11/18/2013,"20,570.59","20,868.76","20,570.59","20,850.74"
