Date,Open,High,Low,Close
12/29/2023,"72,351.59","72,417.01","72,082.64","72,240.26"
12/28/2023,"72,262.67","72,484.34","72,137.45","72,410.38"
12/27/2023,"71,492.02","72,119.85","71,473.65","72,038.43"
12/26/2023,"71,097.78","71,471.29","71,012.08","71,336.80"
12/22/2023,"71,045.65","71,259.55","70,713.56","71,106.96"
12/21/2023,"69,920.89","70,958.71","69,920.39","70,865.10"
12/20/2023,"71,647.66","71,913.07","70,302.60","70,506.31"
12/19/2023,"71,479.28","71,623.71","71,071.98","71,437.19"
12/18/2023,"71,437.35","71,552.24","71,142.29","71,315.09"
12/15/2023,"70,804.13","71,605.76","70,655.97","71,483.75"
12/14/2023,"70,146.09","70,602.89","70,110.75","70,514.20"
12/13/2023,"69,648.56","69,657.93","69,100.56","69,584.60"
12-12-2023,"70,020.68","70,033.64","69,443.85","69,551.03"
12-11-2023,"69,925.63","70,057.83","69,782.48","69,928.53"
12-08-2023,"69,666.38","69,893.80","69,506.12","69,825.60"
12-07-2023,"69,694.15","69,695.33","69,320.53","69,521.69"
12-06-2023,"69,534.93","69,744.62","69,395.01","69,653.73"
12-05-2023,"69,168.53","69,381.31","68,954.88","69,296.14"
12-04-2023,"68,435.34","68,918.22","68,274.47","68,865.12"
12-01-2023,"67,181.15","67,564.33","67,149.07","67,481.19"
11/30/2023,"66,963.20","67,069.89","66,610.35","66,988.44"
11/29/2023,"66,381.26","66,946.28","66,374.52","66,901.91"
11/28/2023,"66,063.72","66,256.20","65,906.65","66,174.20"
11/24/2023,"66,000.29","66,101.64","65,894.05","65,970.04"
11/23/2023,"66,084.37","66,235.24","65,980.50","66,017.81"
11/22/2023,"65,839.62","66,063.43","65,664.85","66,023.24"
11/21/2023,"65,860.46","66,082.36","65,849.17","65,930.77"
11/20/2023,"65,787.51","65,844.01","65,547.80","65,655.15"
11/17/2023,"65,788.79","66,037.69","65,639.74","65,794.73"
11/16/2023,"65,665.87","66,358.37","65,507.02","65,982.48"
11/15/2023,"65,461.54","65,747.65","65,373.50","65,675.93"
11/13/2023,"65,158.31","65,176.96","64,853.36","64,933.87"
11-12-2023,"65,418.98","65,418.98","65,218.60","65,259.45"
