Date,Open,High,Low,Close
12/29/2023,"1,292.41","1,298.43","1,283.27","1,293.14"
12/22/2023,"1,288.92","1,303.70","1,284.69","1,290.89"
12/15/2023,"1,275.83","1,304.74","1,271.89","1,290.79"
12-08-2023,"1,283.48","1,284.54","1,258.03","1,275.09"
12-01-2023,"1,260.06","1,280.48","1,255.65","1,280.11"
11/24/2023,"1,252.66","1,262.42","1,242.02","1,258.73"
11/17/2023,"1,204.45","1,263.82","1,196.46","1,250.44"
11-10-2023,"1,226.85","1,240.75","1,199.18","1,203.08"
11-03-2023,"1,183.40","1,234.54","1,179.13","1,219.77"
10/27/2023,"1,179.43","1,199.65","1,167.38","1,178.79"
10/20/2023,"1,165.42","1,192.10","1,161.22","1,174.91"
10/13/2023,"1,125.79","1,206.94","1,105.15","1,169.66"
10-06-2023,"1,210.30","1,217.28","1,135.32","1,136.93"
09/29/2023,"1,223.40","1,240.26","1,187.04","1,209.34"
09/22/2023,"1,263.08","1,267.53","1,182.89","1,217.75"
09/15/2023,"1,273.76","1,282.65","1,213.64","1,258.58"
09-08-2023,"1,302.03","1,305.35","1,234.02","1,259.50"
09-01-2023,"1,304.48","1,324.85","1,296.59","1,299.47"
08/25/2023,"1,264.47","1,309.90","1,264.47","1,299.76"
08/18/2023,"1,280.40","1,286.76","1,262.68","1,263.34"
08-11-2023,"1,322.62","1,326.56","1,281.88","1,286.86"
08-04-2023,"1,336.37","1,344.55","1,281.70","1,319.52"
07/28/2023,"1,337.54","1,351.68","1,327.28","1,333.86"
07/21/2023,"1,326.55","1,344.21","1,300.70","1,339.18"
07/14/2023,"1,281.11","1,327.87","1,278.47","1,325.61"
07-07-2023,"1,287.11","1,300.87","1,273.15","1,278.30"
06/30/2023,"1,269.46","1,287.58","1,227.54","1,278.61"
06/23/2023,"1,276.73","1,279.48","1,253.98","1,268.71"
06/16/2023,"1,267.06","1,280.16","1,257.21","1,277.56"
06-09-2023,"1,218.33","1,268.81","1,218.33","1,261.67"
06-02-2023,"1,228.25","1,240.22","1,209.05","1,217.86"
05/26/2023,"1,137.73","1,226.19","1,137.71","1,220.89"
05/19/2023,"1,123.63","1,139.84","1,116.33","1,132.34"
05-12-2023,"1,114.23","1,135.50","1,112.78","1,122.75"
05-05-2023,"1,085.58","1,113.88","1,075.66","1,111.24"
04/28/2023,"1,113.08","1,115.90","1,079.13","1,085.11"
04/21/2023,"1,111.80","1,122.88","1,101.45","1,111.33"
04/13/2023,"1,080.36","1,103.65","1,080.31","1,102.79"
04-06-2023,"1,056.90","1,079.82","1,056.90","1,074.00"
03/31/2023,"1,026.33","1,056.24","1,014.84","1,054.59"
03/24/2023,"1,013.16","1,060.90",998.29,"1,021.16"
03/17/2023,"1,044.76","1,078.96","1,016.04","1,020.19"
03-10-2023,"1,107.45","1,108.89","1,053.23","1,056.26"
03-03-2023,"1,116.02","1,140.96","1,102.94","1,114.68"
02/24/2023,"1,105.52","1,123.23","1,101.30","1,113.36"
02/17/2023,"1,071.25","1,104.40","1,069.95","1,102.76"
02-10-2023,"1,033.11","1,080.71","1,027.39","1,068.12"
02-03-2023,"1,017.18","1,036.42","1,014.37","1,033.44"
