Date,Open,High,Low,Close
12/28/2023,"1,32,752.95","1,34,391.67","1,32,752.95","1,34,185.24"
12/22/2023,"1,30,202.35","1,33,035.32","1,30,198.41","1,32,752.93"
12/15/2023,"1,27,092.79","1,31,661.25","1,26,013.15","1,30,197.10"
12-08-2023,"1,28,182.88","1,28,182.88","1,25,562.34","1,27,093.57"
12-01-2023,"1,25,517.27","1,28,184.91","1,24,839.65","1,28,184.91"
11/24/2023,"1,24,773.21","1,26,875.11","1,24,773.21","1,25,517.27"
11/17/2023,"1,20,561.18","1,25,431.07","1,19,878.23","1,24,773.21"
11-10-2023,"1,18,159.97","1,20,822.77","1,18,026.33","1,20,568.14"
11-03-2023,"1,13,303.16","1,18,501.80","1,12,098.12","1,18,159.97"
10/27/2023,"1,13,144.74","1,15,341.65","1,12,164.36","1,13,301.35"
10/20/2023,"1,15,759.93","1,16,916.68","1,12,533.33","1,13,155.28"
10/13/2023,"1,14,168.99","1,17,098.64","1,13,448.18","1,15,754.08"
10-06-2023,"1,16,565.17","1,16,672.30","1,11,598.57","1,14,169.63"
09/29/2023,"1,16,008.64","1,16,899.02","1,13,365.75","1,16,565.17"
09/22/2023,"1,18,758.67","1,19,615.70","1,15,855.48","1,16,008.64"
09/15/2023,"1,15,315.94","1,19,780.20","1,15,315.94","1,18,757.53"
09-08-2023,"1,18,201.31","1,18,576.42","1,14,838.85","1,15,313.40"
09-01-2023,"1,15,838.36","1,18,840.80","1,15,741.81","1,17,892.96"
08/25/2023,"1,15,409.37","1,18,135.57","1,14,066.51","1,15,837.20"
08/18/2023,"1,18,066.52","1,18,081.90","1,14,423.28","1,15,408.52"
08-11-2023,"1,19,509.35","1,20,103.93","1,17,415.21","1,18,065.14"
08-04-2023,"1,20,187.87","1,22,619.14","1,19,215.02","1,19,507.68"
07/28/2023,"1,20,219.62","1,23,009.90","1,19,706.26","1,20,187.11"
07/21/2023,"1,17,710.54","1,20,372.77","1,16,591.12","1,20,216.77"
07/14/2023,"1,18,897.42","1,19,739.09","1,15,703.93","1,17,710.54"
07-07-2023,"1,18,092.02","1,20,199.87","1,17,095.88","1,18,897.99"
06/30/2023,"1,18,977.38","1,19,447.25","1,16,559.70","1,18,087.00"
06/23/2023,"1,18,756.79","1,20,518.52","1,18,018.03","1,18,977.10"
06/16/2023,"1,17,021.59","1,19,686.12","1,16,363.43","1,18,758.42"
06-09-2023,"1,12,558.15","1,17,602.97","1,11,736.44","1,17,019.48"
06-02-2023,"1,10,905.81","1,13,069.55","1,08,193.41","1,12,558.15"
05/26/2023,"1,10,744.91","1,11,705.53","1,08,546.09","1,10,905.51"
05/19/2023,"1,08,469.09","1,11,211.29","1,08,085.20","1,10,744.51"
05-12-2023,"1,05,161.13","1,08,816.78","1,05,161.13","1,08,463.84"
05-05-2023,"1,04,431.23","1,05,305.64","1,01,063.49","1,05,148.48"
04/28/2023,"1,04,366.82","1,04,821.97","1,01,975.35","1,04,431.63"
04/20/2023,"1,06,279.37","1,06,829.81","1,03,086.98","1,04,366.82"
04/14/2023,"1,00,821.82","1,08,277.02","1,00,819.10","1,06,279.37"
04-06-2023,"1,01,883.21","1,03,055.92","99,897.78","1,00,821.73"
03/31/2023,"98,833.08","1,04,085.40","98,833.08","1,01,882.20"
03/24/2023,"1,01,981.53","1,02,328.44","96,996.84","98,829.27"
03/17/2023,"1,03,607.98","1,04,153.48","1,00,692.04","1,01,981.53"
03-10-2023,"1,03,864.62","1,06,723.99","1,03,170.44","1,03,618.20"
03-03-2023,"1,05,807.20","1,06,793.71","1,03,104.81","1,03,865.99"
02/24/2023,"1,09,173.51","1,09,173.51","1,05,359.92","1,05,798.43"
02/17/2023,"1,08,074.15","1,10,436.98","1,07,266.63","1,09,176.92"
02-10-2023,"1,08,517.62","1,10,175.02","1,07,233.94","1,08,078.27"
02-03-2023,"1,12,318.91","1,13,691.16","1,08,184.98","1,08,523.47"
01/27/2023,"1,12,040.64","1,14,835.35","1,11,541.82","1,12,316.16"
01/20/2023,"1,10,907.91","1,13,306.24","1,08,752.91","1,12,040.64"
01/13/2023,"1,08,963.90","1,13,128.80","1,08,134.33","1,10,916.08"
01-06-2023,"1,09,733.88","1,09,733.88","1,03,852.27","1,08,963.70"
12/29/2022,"1,09,698.84","1,11,177.53","1,07,418.40","1,09,734.60"
12/23/2022,"1,02,859.17","1,09,994.23","1,02,769.76","1,09,697.57"
12/16/2022,"1,07,518.28","1,07,561.12","1,01,631.98","1,02,855.70"
12-09-2022,"1,11,921.65","1,12,149.58","1,06,905.81","1,07,519.56"
12-02-2022,"1,08,976.70","1,13,760.75","1,08,377.75","1,11,923.93"
11/25/2022,"1,08,868.18","1,12,612.16","1,07,867.47","1,08,976.70"
