Date,Open,High,Low,Close
12/29/2023,"3,330.33","3,432.54","3,309.67","3,431.11"
12/22/2023,"3,329.19","3,359.06","3,283.99","3,337.23"
12/15/2023,"3,378.05","3,427.55","3,339.52","3,341.55"
12-08-2023,"3,481.05","3,488.13","3,369.77","3,399.46"
12-01-2023,"3,534.44","3,534.44","3,452.17","3,482.88"
11/24/2023,"3,569.73","3,615.06","3,529.94","3,538.01"
11/17/2023,"3,593.91","3,620.60","3,547.03","3,568.07"
11-10-2023,"3,608.32","3,635.79","3,576.10","3,586.49"
11-03-2023,"3,554.11","3,606.41","3,553.74","3,584.14"
10/27/2023,"3,500.20","3,576.59","3,450.65","3,562.39"
10/20/2023,"3,664.04","3,664.04","3,501.73","3,510.59"
10/13/2023,"3,678.93","3,711.50","3,642.00","3,663.41"
09/28/2023,"3,714.60","3,738.06","3,685.30","3,689.52"
09/28/2023,"3,714.60","3,738.06","3,685.30","3,689.52"
09/22/2023,"3,727.71","3,740.42","3,664.77","3,738.93"
09/15/2023,"3,740.58","3,788.32","3,699.38","3,708.78"
09-08-2023,"3,812.99","3,854.26","3,724.99","3,739.99"
09-01-2023,"3,911.55","3,911.55","3,740.53","3,791.49"
08/25/2023,"3,773.23","3,782.11","3,695.03","3,709.15"
08/18/2023,"3,855.91","3,865.28","3,782.50","3,784.00"
08-11-2023,"4,002.97","4,002.97","3,884.25","3,884.25"
08-04-2023,"4,018.89","4,064.36","3,958.51","4,020.58"
07/28/2023,"3,803.35","4,000.92","3,798.80","3,992.74"
07/21/2023,"3,867.17","3,881.62","3,808.80","3,821.91"
07/14/2023,"3,841.56","3,908.49","3,831.92","3,899.10"
07-07-2023,"3,853.29","3,899.98","3,819.08","3,825.70"
06/30/2023,"3,809.70","3,860.03","3,801.05","3,842.45"
06/21/2023,"3,957.03","3,957.03","3,864.03","3,864.03"
06/16/2023,"3,827.33","3,963.35","3,813.86","3,963.35"
06-09-2023,"3,860.56","3,867.85","3,777.78","3,836.70"
06-02-2023,"3,862.08","3,866.72","3,781.40","3,861.83"
05/26/2023,"3,941.00","3,985.40","3,815.57","3,850.95"
05/19/2023,"3,998.89","4,005.02","3,923.03","3,944.54"
05-12-2023,"4,028.11","4,092.85","3,937.53","3,937.76"
05-05-2023,"4,013.47","4,047.60","3,998.39","4,016.88"
04/28/2023,"4,031.30","4,033.64","3,925.44","4,029.09"
04/21/2023,"4,090.07","4,169.67","4,031.91","4,032.57"
04/14/2023,"4,132.01","4,132.30","4,059.57","4,092.00"
04-07-2023,"4,059.62","4,131.31","4,059.06","4,123.28"
03/31/2023,"4,023.30","4,063.57","3,983.90","4,050.93"
03/24/2023,"3,962.66","4,039.09","3,935.02","4,027.05"
03/17/2023,"3,962.64","4,018.75","3,936.48","3,958.82"
03-10-2023,"4,131.15","4,132.84","3,966.43","3,967.14"
03-03-2023,"4,040.46","4,137.25","4,026.45","4,130.55"
02/24/2023,"4,039.96","4,151.80","4,035.48","4,061.05"
02/17/2023,"4,098.88","4,167.90","4,032.93","4,034.51"
02-10-2023,"4,103.83","4,130.86","4,064.75","4,106.31"
02-03-2023,"4,267.63","4,268.15","4,103.17","4,141.63"
01/20/2023,"4,077.88","4,189.83","4,076.64","4,181.53"
01/20/2023,"4,077.88","4,189.83","4,076.64","4,181.53"
01/13/2023,"3,998.53","4,074.38","3,990.71","4,074.38"
01-06-2023,"3,864.84","4,000.41","3,831.25","3,980.89"
12/30/2022,"3,830.57","3,891.85","3,827.52","3,871.63"
12/23/2022,"3,952.77","3,966.57","3,805.95","3,828.22"
12/16/2022,"3,976.17","3,983.43","3,926.50","3,954.23"
12-09-2022,"3,907.64","4,003.32","3,900.67","3,998.24"
12-02-2022,"3,701.90","3,944.56","3,672.13","3,870.95"
11/25/2022,"3,769.63","3,809.86","3,734.00","3,775.78"
11/18/2022,"3,818.14","3,877.68","3,775.50","3,801.57"
11-11-2022,"3,754.52","3,828.90","3,665.06","3,788.44"
11-04-2022,"3,504.51","3,782.88","3,495.95","3,767.17"
10/28/2022,"3,727.92","3,762.16","3,533.50","3,541.33"
10/21/2022,"3,822.24","3,870.22","3,724.69","3,742.89"
10/14/2022,"3,806.56","3,863.23","3,661.53","3,842.47"
09/30/2022,"3,829.60","3,893.32","3,801.28","3,804.89"
09/30/2022,"3,829.60","3,893.32","3,801.28","3,804.89"
09/23/2022,"3,928.42","3,957.55","3,829.69","3,856.02"
09/16/2022,"4,112.01","4,128.11","3,932.68","3,932.68"
09-09-2022,"4,010.41","4,099.01","3,982.74","4,093.79"
09-02-2022,"4,063.88","4,112.85","4,004.91","4,023.61"
08/26/2022,"4,135.16","4,187.39","4,058.75","4,107.55"
08/19/2022,"4,180.00","4,222.79","4,151.07","4,151.07"
08-12-2022,"4,142.11","4,202.47","4,092.55","4,191.15"
08-05-2022,"4,160.65","4,196.57","4,058.18","4,156.91"
07/29/2022,"4,233.93","4,267.92","4,160.87","4,170.10"
07/22/2022,"4,262.15","4,300.78","4,207.31","4,238.23"
07/15/2022,"4,406.15","4,406.15","4,248.53","4,248.53"
07-08-2022,"4,447.22","4,530.32","4,391.19","4,428.78"
07-01-2022,"4,414.33","4,515.00","4,407.35","4,466.72"
06/24/2022,"4,322.83","4,400.69","4,260.90","4,394.77"
06/17/2022,"4,194.46","4,348.42","4,102.93","4,309.04"
06-10-2022,"4,090.53","4,241.35","4,063.91","4,238.99"
06-02-2022,"4,020.86","4,096.20","4,003.38","4,089.57"
05/27/2022,"4,080.97","4,080.97","3,938.24","4,001.30"
05/20/2022,"4,015.00","4,077.60","3,933.75","4,077.60"
05/13/2022,"3,883.95","4,033.30","3,808.57","3,988.60"
05-06-2022,"3,995.35","4,039.70","3,902.05","3,908.82"
04/29/2022,"3,933.45","4,017.43","3,757.09","4,016.24"
04/22/2022,"4,152.93","4,186.94","3,953.72","4,013.25"
04/15/2022,"4,203.79","4,217.06","4,075.80","4,188.75"
04-08-2022,"4,258.83","4,278.11","4,175.53","4,230.77"
04-01-2022,"4,128.84","4,290.67","4,091.30","4,276.16"
03/25/2022,"4,280.14","4,287.58","4,173.93","4,174.57"
03/18/2022,"4,248.15","4,302.74","3,942.86","4,265.90"
03-11-2022,"4,462.52","4,462.52","4,068.19","4,306.52"
03-04-2022,"4,563.74","4,623.43","4,481.49","4,496.43"
02/25/2022,"4,646.05","4,646.67","4,488.48","4,573.42"
02/18/2022,"4,579.42","4,651.34","4,530.06","4,651.24"
02-11-2022,"4,638.58","4,672.65","4,522.47","4,601.40"
01/28/2022,"4,753.94","4,801.10","4,559.83","4,563.77"
01/28/2022,"4,753.94","4,801.10","4,559.83","4,563.77"
01/21/2022,"4,728.76","4,845.01","4,726.71","4,779.31"
01/14/2022,"4,812.23","4,853.06","4,723.94","4,726.73"
01-07-2022,"4,957.98","4,961.45","4,786.43","4,822.37"
12/31/2021,"4,918.15","4,959.15","4,878.65","4,940.37"
12/24/2021,"4,934.97","4,971.67","4,872.68","4,921.34"
12/17/2021,"5,090.02","5,143.84","4,954.76","4,954.76"
12-10-2021,"4,909.43","5,114.50","4,888.69","5,055.12"
12-03-2021,"4,820.01","4,901.02","4,810.22","4,901.02"
11/26/2021,"4,895.39","4,927.52","4,850.81","4,860.13"
11/19/2021,"4,894.41","4,915.37","4,829.57","4,890.06"
11-12-2021,"4,841.15","4,909.08","4,754.00","4,888.37"
11-05-2021,"4,878.13","4,911.23","4,797.90","4,842.35"
10/29/2021,"4,940.90","5,002.57","4,846.28","4,908.77"
10/22/2021,"4,922.51","4,989.89","4,844.94","4,959.73"
10/15/2021,"4,941.29","4,983.73","4,840.77","4,932.11"
10-08-2021,"4,929.94","4,937.09","4,891.63","4,929.94"
09/30/2021,"4,877.37","4,922.56","4,799.88","4,866.38"
09/24/2021,"4,821.77","4,897.06","4,765.23","4,849.43"
09/17/2021,"5,006.78","5,029.72","4,786.09","4,855.94"
09-10-2021,"4,841.06","5,042.80","4,837.79","5,013.52"
09-03-2021,"4,847.03","4,906.40","4,763.30","4,843.06"
08/27/2021,"4,777.74","4,906.20","4,764.01","4,827.04"
08/20/2021,"4,935.92","4,973.38","4,720.83","4,769.27"
08/13/2021,"4,890.26","5,059.79","4,884.04","4,945.98"
08-06-2021,"4,933.74","4,997.14","4,761.46","4,921.56"
07/30/2021,"5,067.31","5,067.31","4,663.90","4,811.17"
07/23/2021,"5,083.73","5,171.21","5,047.62","5,089.23"
07/16/2021,"5,132.71","5,159.41","5,067.68","5,094.77"
07-09-2021,"5,073.78","5,151.22","5,006.41","5,069.44"
07-02-2021,"5,251.76","5,260.64","5,074.36","5,081.12"
06/25/2021,"5,088.09","5,239.97","5,058.57","5,239.97"
