Date,Open,High,Low,Close
12/29/2023,"7,697.51","7,759.74","7,697.51","7,733.24"
12/22/2023,"7,576.36","7,762.88","7,557.24","7,697.51"
12/15/2023,"7,554.47","7,724.81","7,493.59","7,576.36"
12-08-2023,"7,529.35","7,581.32","7,460.21","7,554.47"
12-01-2023,"7,488.20","7,538.71","7,387.09","7,529.35"
11/24/2023,"7,504.25","7,506.00","7,446.68","7,488.20"
11/17/2023,"7,360.55","7,533.77","7,360.55","7,504.25"
11-10-2023,"7,417.73","7,465.31","7,319.96","7,360.55"
11-03-2023,"7,291.28","7,482.73","7,291.28","7,417.73"
10/27/2023,"7,402.14","7,428.11","7,279.86","7,291.28"
10/20/2023,"7,599.60","7,682.63","7,395.57","7,402.14"
10/13/2023,"7,494.58","7,687.91","7,473.19","7,599.60"
10-06-2023,"7,608.08","7,630.41","7,384.20","7,494.58"
09/29/2023,"7,683.91","7,684.82","7,524.11","7,608.08"
09/22/2023,"7,711.38","7,746.53","7,640.80","7,683.91"
09/15/2023,"7,478.19","7,745.82","7,467.35","7,711.38"
09-08-2023,"7,464.54","7,523.40","7,369.64","7,478.19"
09-01-2023,"7,338.58","7,509.36","7,338.58","7,464.54"
08/25/2023,"7,262.43","7,389.40","7,250.88","7,338.58"
08/18/2023,"7,524.16","7,530.25","7,215.76","7,262.43"
08-11-2023,"7,564.37","7,622.92","7,487.47","7,524.16"
08-04-2023,"7,694.27","7,722.92","7,437.88","7,564.37"
07/28/2023,"7,663.73","7,716.82","7,630.00","7,694.27"
07/21/2023,"7,434.57","7,674.23","7,395.67","7,663.73"
07/14/2023,"7,256.94","7,480.43","7,238.72","7,434.57"
07-07-2023,"7,531.53","7,561.26","7,229.57","7,256.94"
06/30/2023,"7,461.87","7,551.59","7,401.18","7,531.53"
06/23/2023,"7,642.72","7,642.72","7,439.72","7,461.87"
06/16/2023,"7,562.36","7,687.61","7,556.32","7,642.72"
06-09-2023,"7,607.28","7,654.84","7,546.50","7,562.36"
06-02-2023,"7,627.20","7,628.12","7,445.30","7,607.28"
05/26/2023,"7,756.87","7,800.85","7,556.92","7,627.20"
05/19/2023,"7,754.62","7,804.93","7,713.03","7,756.87"
05-12-2023,"7,778.38","7,792.35","7,679.61","7,754.62"
05-05-2023,"7,870.57","7,898.69","7,691.25","7,778.38"
04/28/2023,"7,914.13","7,927.11","7,791.63","7,870.57"
04/21/2023,"7,871.91","7,936.11","7,871.43","7,914.13"
04/14/2023,"7,741.56","7,904.04","7,741.56","7,871.91"
04-06-2023,"7,631.74","7,742.11","7,631.74","7,741.56"
03/31/2023,"7,405.45","7,654.41","7,405.45","7,631.74"
03/24/2023,"7,335.40","7,585.57","7,206.82","7,405.45"
03/17/2023,"7,748.35","7,752.43","7,309.30","7,335.40"
03-10-2023,"7,947.11","7,959.77","7,708.32","7,748.35"
03-03-2023,"7,878.66","7,974.40","7,854.82","7,947.11"
02/24/2023,"8,004.36","8,020.13","7,870.39","7,878.66"
02/17/2023,"7,882.45","8,047.06","7,881.86","8,004.36"
02-10-2023,"7,901.80","7,949.57","7,808.39","7,882.45"
02-03-2023,"7,765.15","7,906.58","7,708.34","7,901.80"
01/27/2023,"7,770.59","7,811.17","7,710.78","7,765.15"
01/20/2023,"7,844.07","7,875.58","7,726.23","7,770.59"
01/13/2023,"7,699.49","7,864.95","7,684.35","7,844.07"
01-06-2023,"7,451.74","7,700.81","7,448.69","7,699.49"
12/30/2022,"7,473.01","7,547.00","7,434.64","7,451.74"
12/23/2022,"7,332.12","7,540.31","7,302.82","7,473.01"
12/16/2022,"7,476.63","7,553.36","7,305.72","7,332.12"
12-09-2022,"7,556.23","7,598.21","7,431.44","7,476.63"
12-02-2022,"7,486.67","7,599.70","7,420.00","7,556.23"
11/25/2022,"7,385.52","7,498.34","7,343.37","7,486.67"
11/18/2022,"7,318.04","7,423.51","7,294.75","7,385.52"
11-11-2022,"7,334.84","7,408.61","7,244.83","7,318.04"
11-04-2022,"7,047.67","7,376.23","7,030.12","7,334.84"
10/28/2022,"6,969.73","7,093.05","6,914.66","7,047.67"
10/21/2022,"6,858.79","7,017.40","6,850.43","6,969.73"
10/14/2022,"6,991.09","6,999.20","6,707.62","6,858.79"
