Date,Open,High,Low,Close
12/29/2023,"21,365.20","21,801.45","21,329.45","21,731.40"
12/22/2023,"21,434.80","21,593.00","20,976.80","21,349.40"
12/15/2023,"20,965.30","21,492.30","20,769.50","21,456.65"
12-08-2023,"20,601.95","21,006.10","20,507.75","20,969.40"
12-01-2023,"19,844.65","20,291.55","19,800.00","20,267.90"
11/24/2023,"19,731.15","19,875.15","19,670.50","19,794.70"
11/17/2023,"19,486.75","19,875.25","19,414.75","19,731.80"
11-10-2023,"19,345.85","19,464.40","19,309.70","19,425.35"
11-03-2023,"19,053.40","19,276.25","18,940.00","19,230.60"
10/27/2023,"19,521.60","19,556.85","18,837.85","19,047.25"
10/20/2023,"19,737.25","19,849.75","19,512.35","19,542.65"
10/13/2023,"19,539.45","19,843.30","19,480.50","19,751.05"
10-06-2023,"19,622.40","19,675.75","19,333.60","19,653.50"
09/29/2023,"19,678.20","19,766.65","19,492.10","19,638.30"
09/22/2023,"20,155.95","20,195.35","19,657.50","19,674.25"
09/15/2023,"19,890.00","20,222.45","19,865.35","20,192.35"
09-08-2023,"19,525.05","19,867.15","19,432.85","19,819.95"
09-01-2023,"19,298.35","19,458.55","19,223.65","19,435.30"
08/25/2023,"19,320.65","19,584.45","19,229.70","19,265.80"
08/18/2023,"19,383.95","19,482.75","19,253.60","19,310.15"
08-11-2023,"19,576.85","19,645.50","19,412.75","19,428.30"
08-04-2023,"19,666.35","19,795.60","19,296.45","19,517.00"
07/28/2023,"19,748.45","19,867.55","19,563.10","19,646.05"
07/21/2023,"19,612.15","19,991.85","19,562.95","19,745.00"
07/14/2023,"19,400.35","19,595.35","19,327.10","19,564.50"
07-07-2023,"19,246.50","19,523.60","19,234.40","19,331.80"
06/30/2023,"18,682.35","19,201.70","18,646.70","19,189.05"
06/23/2023,"18,873.30","18,886.60","18,647.10","18,665.50"
06/16/2023,"18,595.05","18,864.70","18,559.75","18,826.00"
06-09-2023,"18,612.00","18,777.90","18,531.60","18,563.40"
06-02-2023,"18,619.15","18,662.45","18,464.55","18,534.10"
05/26/2023,"18,201.10","18,508.55","18,178.85","18,499.35"
05/19/2023,"18,339.30","18,458.90","18,060.40","18,203.40"
05-12-2023,"18,120.60","18,389.70","18,100.30","18,314.80"
05-05-2023,"18,124.80","18,267.45","18,042.40","18,069.00"
04/28/2023,"17,707.55","18,089.15","17,612.50","18,065.00"
04/21/2023,"17,863.00","17,863.00","17,553.95","17,624.05"
