Date,Open,High,Low,Close
12/29/2023,"2,091.17","2,124.25","2,091.17","2,124.25"
12/22/2023,"2,031.66","2,097.23","2,031.66","2,091.17"
12/15/2023,"1,948.33","2,022.89","1,944.22","2,018.08"
12-08-2023,"1,959.65","1,973.74","1,959.65","1,965.80"
12-01-2023,"1,921.50","1,952.15","1,901.60","1,952.15"
11/24/2023,"1,811.52","1,925.22","1,811.52","1,925.22"
11/17/2023,"1,790.11","1,839.52","1,782.99","1,839.52"
11-10-2023,"1,817.75","1,821.30","1,782.78","1,821.30"
11-03-2023,"1,835.60","1,835.60","1,808.02","1,832.85"
10/27/2023,"1,832.16","1,832.16","1,803.32","1,823.25"
10/20/2023,"1,875.09","1,875.09","1,833.87","1,833.87"
10/13/2023,"1,887.84","1,899.23","1,881.01","1,888.99"
10-06-2023,"1,934.59","1,934.59","1,897.16","1,904.31"
09/29/2023,"1,944.26","1,944.26","1,901.80","1,930.72"
09/22/2023,"1,963.04","1,963.04","1,936.60","1,946.74"
09/15/2023,"1,997.56","1,997.56","1,951.79","1,964.42"
09-08-2023,"2,073.68","2,073.68","2,009.22","2,009.22"
09-01-2023,"2,070.74","2,075.91","2,070.74","2,071.99"
08/25/2023,"2,093.77","2,115.11","2,064.52","2,064.52"
08/18/2023,"2,057.19","2,084.94","2,057.19","2,078.91"
08-11-2023,"2,049.25","2,070.21","2,049.25","2,057.09"
08-04-2023,"2,082.50","2,082.50","2,037.14","2,049.25"
07/28/2023,"2,111.35","2,116.52","2,078.36","2,078.36"
07/21/2023,"2,018.02","2,125.13","2,018.02","2,125.13"
07/14/2023,"2,023.94","2,023.94","1,999.65","2,011.10"
07-07-2023,"2,004.17","2,033.35","1,998.32","2,033.35"
06/30/2023,"1,899.04","1,973.02","1,880.32","1,973.02"
06/23/2023,"1,936.01","1,939.37","1,929.24","1,934.09"
06/16/2023,"1,968.88","1,968.88","1,944.96","1,944.96"
06-09-2023,"1,961.48","1,980.00","1,940.36","1,980.00"
06-02-2023,"1,968.47","1,997.35","1,968.47","1,976.84"
05/26/2023,"2,026.78","2,026.78","1,954.95","1,968.47"
05/19/2023,"2,030.63","2,030.63","2,015.53","2,018.50"
05-12-2023,"2,083.32","2,083.32","2,048.23","2,051.83"
05-05-2023,"2,240.03","2,240.03","2,093.58","2,095.07"
04/28/2023,"2,129.90","2,245.85","2,129.90","2,240.03"
04/21/2023,"2,141.32","2,188.44","2,141.32","2,152.66"
04/14/2023,"2,300.72","2,372.38","2,230.85","2,230.85"
04-07-2023,"2,305.23","2,306.37","2,300.72","2,300.72"
03/31/2023,"2,258.64","2,303.33","2,248.27","2,303.33"
03/24/2023,"2,278.63","2,308.73","2,262.40","2,262.40"
03/17/2023,"2,284.03","2,325.78","2,278.91","2,298.56"
03-10-2023,"2,383.52","2,383.52","2,326.73","2,326.73"
03-03-2023,"2,419.28","2,419.28","2,361.83","2,385.71"
02/24/2023,"2,404.99","2,424.74","2,393.18","2,424.74"
02/17/2023,"2,428.05","2,428.05","2,398.54","2,402.26"
02-10-2023,"2,344.97","2,425.91","2,344.97","2,425.91"
02-03-2023,"2,299.68","2,337.99","2,293.38","2,337.99"
01/27/2023,"2,293.89","2,329.74","2,293.89","2,329.36"
01/20/2023,"2,325.74","2,353.94","2,294.52","2,294.52"
01/13/2023,"2,313.57","2,343.98","2,313.57","2,338.89"
01-06-2023,"2,188.77","2,263.57","2,188.77","2,263.57"
12/30/2022,"2,201.98","2,207.74","2,188.24","2,199.39"
12/23/2022,"2,136.27","2,217.14","2,112.43","2,201.98"
12/16/2022,"2,219.11","2,221.68","2,134.42","2,134.42"
12-09-2022,"2,251.41","2,251.41","2,189.80","2,193.27"
12-02-2022,"2,260.66","2,265.94","2,246.60","2,246.60"
11/25/2022,"2,273.11","2,310.17","2,273.11","2,294.30"
11/18/2022,"2,257.93","2,295.96","2,257.93","2,271.19"
11-11-2022,"2,167.80","2,269.32","2,167.80","2,269.32"
11-04-2022,"2,268.42","2,282.13","2,180.49","2,191.39"
10/28/2022,"2,118.61","2,236.87","2,118.61","2,236.87"
10/21/2022,"2,142.78","2,180.98","2,120.38","2,120.38"
10/14/2022,"2,171.98","2,171.98","2,109.59","2,135.22"
10-07-2022,"2,136.93","2,206.57","2,136.93","2,196.46"
09/30/2022,"2,193.13","2,193.13","2,112.91","2,157.04"
09/23/2022,"2,322.92","2,322.92","2,193.25","2,216.78"
09/16/2022,"2,436.86","2,436.86","2,342.22","2,342.22"
09-09-2022,"2,343.16","2,435.52","2,343.16","2,435.52"
09-02-2022,"2,356.50","2,364.69","2,317.31","2,356.85"
08/26/2022,"2,431.27","2,434.47","2,405.85","2,405.85"
08/19/2022,"2,427.13","2,472.60","2,427.13","2,471.25"
08-12-2022,"2,428.24","2,443.29","2,417.42","2,430.52"
08-05-2022,"2,409.29","2,409.29","2,383.63","2,404.85"
07/29/2022,"2,362.63","2,409.29","2,358.62","2,409.29"
07/22/2022,"2,435.87","2,440.53","2,363.20","2,366.57"
07/15/2022,"2,427.66","2,468.18","2,427.66","2,430.31"
07-08-2022,"2,257.56","2,404.52","2,257.56","2,404.52"
07-01-2022,"2,309.30","2,314.79","2,251.99","2,256.15"
06/24/2022,"2,204.48","2,252.04","2,204.48","2,252.04"
06/17/2022,"2,282.77","2,282.77","2,208.32","2,208.32"
06-10-2022,"2,301.56","2,320.45","2,291.13","2,320.45"
06-03-2022,"2,323.30","2,323.30","2,300.58","2,301.56"
05/27/2022,"2,332.07","2,332.07","2,286.40","2,311.09"
05/20/2022,"2,384.60","2,384.60","2,299.05","2,309.22"
05/13/2022,"2,369.48","2,396.84","2,349.92","2,396.84"
05-06-2022,"2,507.10","2,519.66","2,441.72","2,441.72"
04/29/2022,"2,580.99","2,590.38","2,553.79","2,553.79"
04/22/2022,"2,609.74","2,609.74","2,596.01","2,597.60"
04/15/2022,"2,610.95","2,610.95","2,596.30","2,609.74"
04-08-2022,"2,634.75","2,634.75","2,597.18","2,618.30"
04-01-2022,"2,545.36","2,605.53","2,545.36","2,605.53"
03/25/2022,"2,526.84","2,535.55","2,517.68","2,535.55"
03/18/2022,"2,532.97","2,601.28","2,532.97","2,549.67"
03-11-2022,"2,366.50","2,494.95","2,326.47","2,494.95"
03-04-2022,"2,486.77","2,486.77","2,415.28","2,415.28"
02/25/2022,"2,596.31","2,596.31","2,457.69","2,554.78"
02/18/2022,"2,595.32","2,636.21","2,595.32","2,631.76"
02-11-2022,"2,533.12","2,612.59","2,533.12","2,612.59"
02-04-2022,"2,555.82","2,561.16","2,526.84","2,526.84"
01/28/2022,"2,526.87","2,558.97","2,514.53","2,536.66"
01/21/2022,"2,595.26","2,606.36","2,578.38","2,578.38"
01/14/2022,"2,599.64","2,599.64","2,581.59","2,588.57"
01-07-2022,"2,653.42","2,654.84","2,618.05","2,618.05"
12/31/2021,"2,617.74","2,642.82","2,617.74","2,642.82"
12/24/2021,"2,535.08","2,609.70","2,535.08","2,609.70"
12/17/2021,"2,567.70","2,570.59","2,552.85","2,570.59"
12-10-2021,"2,576.73","2,601.77","2,576.73","2,596.37"
12-03-2021,"2,544.57","2,577.26","2,544.14","2,564.70"
11/26/2021,"2,620.97","2,620.97","2,534.53","2,534.53"
11/19/2021,"2,603.13","2,621.47","2,600.95","2,608.05"
11-12-2021,"2,608.12","2,608.12","2,581.28","2,581.28"
11-05-2021,"2,593.99","2,635.52","2,593.99","2,616.31"
10/29/2021,"2,548.89","2,608.19","2,548.89","2,608.19"
10/22/2021,"2,595.15","2,595.15","2,528.93","2,528.93"
10/15/2021,"2,490.73","2,603.20","2,490.73","2,603.20"
10-08-2021,"2,487.77","2,497.34","2,470.33","2,497.34"
10-01-2021,"2,455.43","2,509.28","2,446.50","2,509.28"
09/24/2021,"2,369.49","2,375.64","2,338.31","2,375.64"
09/17/2021,"2,466.43","2,466.43","2,412.42","2,440.83"
09-10-2021,"2,512.69","2,513.82","2,488.83","2,488.83"
09-03-2021,"2,479.19","2,497.20","2,475.80","2,497.20"
