Date,Open,High,Low,Close
12/29/2023,"4,758.86","4,793.30","4,751.99","4,769.83"
12/22/2023,"4,725.58","4,778.01","4,697.82","4,754.63"
12/15/2023,"4,593.39","4,738.57","4,593.39","4,719.19"
12-08-2023,"4,564.37","4,609.23","4,546.50","4,604.37"
12-01-2023,"4,554.86","4,599.39","4,537.24","4,594.63"
11/24/2023,"4,511.70","4,568.43","4,510.36","4,559.34"
11/17/2023,"4,406.66","4,521.17","4,393.82","4,514.02"
11-10-2023,"4,364.27","4,418.03","4,343.94","4,415.24"
11-03-2023,"4,139.39","4,373.62","4,132.94","4,358.34"
10/27/2023,"4,210.40","4,259.38","4,103.78","4,117.37"
10/20/2023,"4,342.37","4,393.57","4,223.03","4,224.16"
10/13/2023,"4,289.02","4,385.85","4,283.79","4,327.78"
10-06-2023,"4,284.52","4,324.10","4,216.45","4,308.50"
09/29/2023,"4,310.62","4,338.51","4,238.63","4,288.05"
09/22/2023,"4,445.13","4,466.36","4,316.49","4,320.06"
09/15/2023,"4,480.98","4,511.99","4,447.21","4,450.32"
09-08-2023,"4,510.06","4,514.29","4,430.46","4,457.49"
09-01-2023,"4,426.03","4,541.25","4,414.98","4,515.77"
08/25/2023,"4,380.28","4,458.30","4,356.29","4,405.71"
08/18/2023,"4,458.13","4,490.33","4,335.31","4,369.71"
08-11-2023,"4,491.58","4,527.37","4,443.98","4,464.05"
08-04-2023,"4,584.82","4,594.22","4,474.55","4,478.03"
07/28/2023,"4,543.39","4,607.07","4,528.56","4,582.23"
07/21/2023,"4,508.86","4,578.43","4,504.90","4,536.34"
07/14/2023,"4,394.23","4,527.76","4,389.92","4,505.42"
07-07-2023,"4,449.45","4,456.46","4,385.05","4,398.95"
06/30/2023,"4,344.84","4,458.48","4,328.08","4,450.38"
06/23/2023,"4,396.11","4,400.15","4,341.34","4,348.33"
06/16/2023,"4,308.32","4,448.47","4,304.37","4,409.59"
06-09-2023,"4,282.99","4,322.62","4,261.07","4,298.86"
06-02-2023,"4,226.71","4,290.67","4,166.15","4,282.37"
05/26/2023,"4,190.78","4,212.87","4,103.98","4,205.45"
05/19/2023,"4,126.65","4,212.91","4,109.86","4,191.98"
05-12-2023,"4,136.98","4,154.28","4,098.92","4,124.08"
05-05-2023,"4,166.79","4,186.92","4,048.28","4,136.25"
04/28/2023,"4,132.07","4,170.06","4,049.35","4,169.48"
04/21/2023,"4,137.17","4,169.48","4,113.86","4,133.52"
04/14/2023,"4,085.20","4,163.19","4,072.55","4,137.64"
04-06-2023,"4,102.20","4,133.13","4,069.84","4,105.02"
03/31/2023,"3,982.93","4,110.75","3,951.53","4,109.31"
03/24/2023,"3,917.47","4,039.49","3,909.16","3,970.99"
03/17/2023,"3,835.12","3,964.46","3,808.86","3,916.64"
03-10-2023,"4,055.15","4,078.49","3,846.32","3,861.59"
03-03-2023,"3,992.36","4,048.29","3,928.16","4,045.64"
02/24/2023,"4,052.35","4,052.35","3,943.08","3,970.04"
02/17/2023,"4,096.62","4,159.77","4,047.95","4,079.09"
02-10-2023,"4,119.57","4,176.54","4,060.79","4,090.46"
02-03-2023,"4,049.27","4,195.44","4,015.55","4,136.48"
01/27/2023,"3,978.14","4,094.21","3,949.06","4,070.56"
01/20/2023,"3,999.28","4,015.39","3,885.54","3,972.61"
01/13/2023,"3,910.82","4,003.95","3,877.29","3,999.09"
01-06-2023,"3,853.29","3,906.19","3,794.33","3,895.08"
12/30/2022,"3,843.34","3,858.19","3,780.78","3,839.50"
12/23/2022,"3,853.79","3,889.82","3,764.49","3,844.82"
12/16/2022,"3,939.29","4,100.96","3,827.91","3,852.36"
12-09-2022,"4,052.02","4,052.45","3,918.39","3,934.38"
12-02-2022,"4,005.36","4,100.51","3,937.65","4,071.70"
11/25/2022,"3,956.23","4,034.02","3,933.34","4,026.12"
11/18/2022,"3,977.97","4,028.84","3,906.54","3,965.34"
11-11-2022,"3,780.71","4,001.48","3,744.22","3,992.93"
11-04-2022,"3,881.85","3,911.79","3,698.15","3,770.55"
10/28/2022,"3,762.01","3,905.42","3,741.65","3,901.06"
10/21/2022,"3,638.65","3,762.79","3,638.65","3,752.75"
10/14/2022,"3,647.51","3,712.00","3,491.58","3,583.07"
10-07-2022,"3,609.78","3,806.91","3,604.93","3,639.66"
09/30/2022,"3,682.72","3,736.74","3,584.13","3,585.62"
09/23/2022,"3,849.91","3,907.07","3,647.47","3,693.23"
09/16/2022,"4,083.67","4,119.28","3,837.08","3,873.33"
09-09-2022,"3,930.89","4,076.81","3,886.75","4,067.36"
09-02-2022,"4,034.58","4,062.99","3,903.65","3,924.26"
08/26/2022,"4,195.08","4,203.04","4,057.66","4,057.66"
08/19/2022,"4,269.37","4,325.28","4,218.70","4,228.48"
08-12-2022,"4,155.93","4,280.47","4,112.09","4,280.15"
08-05-2022,"4,112.38","4,167.66","4,079.81","4,145.19"
07/29/2022,"3,965.72","4,140.15","3,910.74","4,130.29"
07/22/2022,"3,883.79","4,012.44","3,818.63","3,961.63"
07/15/2022,"3,880.94","3,880.94","3,721.56","3,863.16"
07-08-2022,"3,792.61","3,918.50","3,742.06","3,899.38"
07-01-2022,"3,920.76","3,945.86","3,738.67","3,825.33"
06/24/2022,"3,715.31","3,913.65","3,715.31","3,911.74"
06/17/2022,"3,838.15","3,838.15","3,636.87","3,674.84"
06-10-2022,"4,134.72","4,168.78","3,900.16","3,900.86"
06-03-2022,"4,151.09","4,177.51","4,073.85","4,108.54"
05/27/2022,"3,919.42","4,158.49","3,875.13","4,158.24"
05/20/2022,"4,013.02","4,090.72","3,810.32","3,901.36"
05/13/2022,"4,081.27","4,081.27","3,858.87","4,023.89"
05-06-2022,"4,130.61","4,307.66","4,062.51","4,123.34"
04/29/2022,"4,255.34","4,308.45","4,124.28","4,131.93"
04/22/2022,"4,385.63","4,512.94","4,267.62","4,271.78"
04/14/2022,"4,462.64","4,471.00","4,381.34","4,392.59"
04-08-2022,"4,547.97","4,593.45","4,450.04","4,488.28"
04-01-2022,"4,541.09","4,637.30","4,507.57","4,545.86"
03/25/2022,"4,462.40","4,546.03","4,424.30","4,543.06"
03/18/2022,"4,202.75","4,465.40","4,161.72","4,463.12"
03-11-2022,"4,327.01","4,327.01","4,157.87","4,204.31"
03-04-2022,"4,354.17","4,416.78","4,279.54","4,328.87"
02/25/2022,"4,332.74","4,385.34","4,114.65","4,384.65"
02/18/2022,"4,412.61","4,489.55","4,327.22","4,348.87"
02-11-2022,"4,505.75","4,590.03","4,401.41","4,418.64"
02-04-2022,"4,431.79","4,595.31","4,414.02","4,500.53"
01/28/2022,"4,356.32","4,453.23","4,222.62","4,431.85"
01/21/2022,"4,632.24","4,632.24","4,395.34","4,397.94"
01/14/2022,"4,655.34","4,748.83","4,582.24","4,662.85"
01-07-2022,"4,778.14","4,818.62","4,662.74","4,677.03"
12/31/2021,"4,733.99","4,808.93","4,733.99","4,766.18"
12/23/2021,"4,587.90","4,740.74","4,531.10","4,725.79"
12/17/2021,"4,710.30","4,731.99","4,600.22","4,620.64"
12-10-2021,"4,548.37","4,713.57","4,540.51","4,712.02"
12-03-2021,"4,628.75","4,672.95","4,495.12","4,538.43"
11/26/2021,"4,712.00","4,743.83","4,585.43","4,594.62"
11/19/2021,"4,689.30","4,717.75","4,672.78","4,697.96"
11-12-2021,"4,701.48","4,714.92","4,630.86","4,682.85"
11-05-2021,"4,610.62","4,718.50","4,595.06","4,697.53"
10/29/2021,"4,553.69","4,608.08","4,537.36","4,605.38"
10/22/2021,"4,463.72","4,559.67","4,447.47","4,544.90"
10/15/2021,"4,385.44","4,475.82","4,329.92","4,471.37"
10-08-2021,"4,348.84","4,429.97","4,278.94","4,391.34"
10-01-2021,"4,442.12","4,457.30","4,288.52","4,357.04"
09/24/2021,"4,402.95","4,465.40","4,305.91","4,455.48"
09/17/2021,"4,474.81","4,492.99","4,427.76","4,432.99"
09-10-2021,"4,535.38","4,535.38","4,457.66","4,458.58"
09-03-2021,"4,513.76","4,545.85","4,513.76","4,535.43"
08/27/2021,"4,450.29","4,513.33","4,450.29","4,509.37"
08/20/2021,"4,461.65","4,480.26","4,367.73","4,441.67"
08/13/2021,"4,437.77","4,468.37","4,424.74","4,468.00"
08-06-2021,"4,406.86","4,440.82","4,373.00","4,436.52"
07/30/2021,"4,409.58","4,429.97","4,372.51","4,395.26"
07/23/2021,"4,296.40","4,415.18","4,233.13","4,411.79"
07/16/2021,"4,372.41","4,393.68","4,322.53","4,327.16"
07-09-2021,"4,356.46","4,371.60","4,289.37","4,369.55"
07-02-2021,"4,284.90","4,355.43","4,274.67","4,352.34"
06/25/2021,"4,173.40","4,286.12","4,173.40","4,280.70"
06/18/2021,"4,248.31","4,257.16","4,164.40","4,166.45"
06-11-2021,"4,229.34","4,249.74","4,208.41","4,247.44"
06-04-2021,"4,216.52","4,234.12","4,167.93","4,229.89"
05/28/2021,"4,170.16","4,218.36","4,170.16","4,204.11"
05/21/2021,"4,169.92","4,188.72","4,061.41","4,155.86"
05/14/2021,"4,228.29","4,236.39","4,056.88","4,173.85"
05-07-2021,"4,191.98","4,238.04","4,128.59","4,232.60"
04/30/2021,"4,185.03","4,218.78","4,174.85","4,181.17"
04/23/2021,"4,179.80","4,194.17","4,118.38","4,180.17"
04/16/2021,"4,124.71","4,191.31","4,114.82","4,185.47"
04-09-2021,"4,034.44","4,129.48","4,034.44","4,128.80"
04-01-2021,"3,969.31","4,020.63","3,943.25","4,019.87"
03/26/2021,"3,916.48","3,978.19","3,853.50","3,974.54"
03/19/2021,"3,942.96","3,983.87","3,886.75","3,913.10"
03-12-2021,"3,844.39","3,960.27","3,819.25","3,943.34"
03-05-2021,"3,842.51","3,914.50","3,723.34","3,841.94"
02/26/2021,"3,885.55","3,928.65","3,789.54","3,811.15"
02/19/2021,"3,939.61","3,950.43","3,885.03","3,906.71"
02-12-2021,"3,892.59","3,937.23","3,884.94","3,934.83"
02-05-2021,"3,731.17","3,894.56","3,725.62","3,886.83"
01/29/2021,"3,851.68","3,870.90","3,694.12","3,714.24"
01/22/2021,"3,781.88","3,861.45","3,780.37","3,841.47"
01/15/2021,"3,803.14","3,823.60","3,749.62","3,768.25"
01-08-2021,"3,764.61","3,826.69","3,662.71","3,824.68"
12/31/2020,"3,723.03","3,760.20","3,723.03","3,756.07"
12/24/2020,"3,684.28","3,711.24","3,636.48","3,703.06"
12/18/2020,"3,675.27","3,726.70","3,645.84","3,709.41"
12-11-2020,"3,694.73","3,712.39","3,633.40","3,663.46"
12-04-2020,"3,634.18","3,699.20","3,594.39","3,699.12"
11/27/2020,"3,566.82","3,644.31","3,552.77","3,638.35"
11/20/2020,"3,600.16","3,628.51","3,543.84","3,557.54"
11/13/2020,"3,583.04","3,645.99","3,511.91","3,585.15"
11-06-2020,"3,296.20","3,529.05","3,279.74","3,509.44"
10/30/2020,"3,441.42","3,441.42","3,233.94","3,269.96"
10/23/2020,"3,493.66","3,502.42","3,415.34","3,465.39"
10/16/2020,"3,500.02","3,549.85","3,440.89","3,483.81"
10-09-2020,"3,367.27","3,482.34","3,354.54","3,477.13"
10-02-2020,"3,333.90","3,397.18","3,323.69","3,348.44"
09/25/2020,"3,285.57","3,323.35","3,209.45","3,298.46"
09/18/2020,"3,363.56","3,428.92","3,292.40","3,319.47"
09-11-2020,"3,371.88","3,425.55","3,310.47","3,340.97"
09-04-2020,"3,509.73","3,588.11","3,349.63","3,426.96"
08/28/2020,"3,418.09","3,509.23","3,413.13","3,508.01"
08/21/2020,"3,380.86","3,399.96","3,354.69","3,397.16"
08/14/2020,"3,356.04","3,387.89","3,326.44","3,372.85"
08-07-2020,"3,288.26","3,352.54","3,284.53","3,351.28"
07/31/2020,"3,219.84","3,272.17","3,204.13","3,271.12"
07/24/2020,"3,224.29","3,279.99","3,200.05","3,215.63"
07/17/2020,"3,205.08","3,238.28","3,127.66","3,224.73"
07-10-2020,"3,155.29","3,186.82","3,115.70","3,185.04"
07-02-2020,"3,018.59","3,165.81","2,999.74","3,130.01"
06/26/2020,"3,094.42","3,154.90","3,004.63","3,009.05"
06/19/2020,"2,993.76","3,155.53","2,965.66","3,097.74"
06-12-2020,"3,199.92","3,233.13","2,984.47","3,041.31"
06-05-2020,"3,038.78","3,211.72","3,031.54","3,193.93"
05/29/2020,"3,004.08","3,068.67","2,969.75","3,044.31"
05/22/2020,"2,913.86","2,980.29","2,913.86","2,955.45"
05/15/2020,"2,915.46","2,945.82","2,766.64","2,863.70"
05-08-2020,"2,815.01","2,932.16","2,797.85","2,929.80"
05-01-2020,"2,854.65","2,954.86","2,821.61","2,830.71"
04/24/2020,"2,845.62","2,868.98","2,727.10","2,836.74"
04/17/2020,"2,782.46","2,879.22","2,721.17","2,874.56"
04-09-2020,"2,578.28","2,818.57","2,574.57","2,789.82"
04-03-2020,"2,558.98","2,641.39","2,447.49","2,488.65"
03/27/2020,"2,290.71","2,637.01","2,191.86","2,541.47"
03/20/2020,"2,508.59","2,562.98","2,280.52","2,304.92"
03/13/2020,"2,863.89","2,882.59","2,478.86","2,711.02"
03-06-2020,"2,974.28","3,136.72","2,901.54","2,972.37"
02/28/2020,"3,257.61","3,259.81","2,855.84","2,954.22"
02/21/2020,"3,369.04","3,393.52","3,328.45","3,337.75"
02/14/2020,"3,318.28","3,385.09","3,317.77","3,380.16"
02-07-2020,"3,235.66","3,347.96","3,235.66","3,327.71"
01/31/2020,"3,247.16","3,293.47","3,214.68","3,225.52"
01/24/2020,"3,321.03","3,337.77","3,281.53","3,295.47"
01/17/2020,"3,271.13","3,329.88","3,268.43","3,329.62"
01-10-2020,"3,217.55","3,282.99","3,214.64","3,265.35"
01-03-2020,"3,244.67","3,258.14","3,222.34","3,234.85"
12/31/2019,"3,240.09","3,240.92","3,212.03","3,230.78"
12/27/2019,"3,226.05","3,247.93","3,220.51","3,240.02"
12/20/2019,"3,183.63","3,225.65","3,183.63","3,221.22"
12/13/2019,"3,141.86","3,182.68","3,126.09","3,168.80"
12-06-2019,"3,143.85","3,150.60","3,070.33","3,145.91"
11/29/2019,"3,117.44","3,154.26","3,117.44","3,140.98"
11/22/2019,"3,117.91","3,127.64","3,091.41","3,110.29"
11/15/2019,"3,080.33","3,120.46","3,075.82","3,120.46"
11-08-2019,"3,078.96","3,097.77","3,065.89","3,093.08"
11-01-2019,"3,032.12","3,066.95","3,023.19","3,066.91"
10/25/2019,"2,996.48","3,027.39","2,991.21","3,022.55"
10/18/2019,"2,965.81","3,008.29","2,962.94","2,986.20"
10-11-2019,"2,944.23","2,993.28","2,892.66","2,970.27"
10-04-2019,"2,967.07","2,992.53","2,855.94","2,952.01"
09/27/2019,"2,983.50","3,007.98","2,945.53","2,961.79"
09/20/2019,"2,996.41","3,021.99","2,978.57","2,992.07"
09/13/2019,"2,988.43","3,020.74","2,957.01","3,007.39"
09-06-2019,"2,909.01","2,985.86","2,891.85","2,978.71"
08/30/2019,"2,866.70","2,940.43","2,853.05","2,926.46"
08/23/2019,"2,913.48","2,939.08","2,834.97","2,847.11"
08/16/2019,"2,907.07","2,943.31","2,825.51","2,888.68"
08-09-2019,"2,898.07","2,938.72","2,822.12","2,918.65"
08-02-2019,"3,024.47","3,025.61","2,914.11","2,932.05"
07/26/2019,"2,981.93","3,027.98","2,976.65","3,025.86"
07/19/2019,"3,017.80","3,017.80","2,973.09","2,976.61"
07-12-2019,"2,979.77","3,013.92","2,963.44","3,013.77"
07-05-2019,"2,971.41","2,995.84","2,952.22","2,990.41"
06/28/2019,"2,951.42","2,954.92","2,912.99","2,941.76"
06/21/2019,"2,889.75","2,964.15","2,887.30","2,950.46"
06/14/2019,"2,885.83","2,910.61","2,874.68","2,886.98"
06-07-2019,"2,751.53","2,884.97","2,728.81","2,873.34"
05/31/2019,"2,830.03","2,840.51","2,750.52","2,752.06"
05/24/2019,"2,841.94","2,868.88","2,805.49","2,826.06"
05/17/2019,"2,840.19","2,892.15","2,801.43","2,859.53"
05-10-2019,"2,908.89","2,937.32","2,825.39","2,881.40"
05-03-2019,"2,940.58","2,954.13","2,900.50","2,945.64"
04/26/2019,"2,898.78","2,939.88","2,896.35","2,939.88"
04/18/2019,"2,908.32","2,918.00","2,891.90","2,905.03"
04-12-2019,"2,888.46","2,910.54","2,873.33","2,907.41"
04-05-2019,"2,848.63","2,893.24","2,848.63","2,892.74"
03/29/2019,"2,796.01","2,836.03","2,785.02","2,834.40"
03/22/2019,"2,822.61","2,860.31","2,800.47","2,800.71"
03/15/2019,"2,747.61","2,830.73","2,747.61","2,822.48"
03-08-2019,"2,814.37","2,816.88","2,722.27","2,743.07"
03-01-2019,"2,804.35","2,813.49","2,775.13","2,803.69"
02/22/2019,"2,769.28","2,794.20","2,764.55","2,792.67"
02/15/2019,"2,712.40","2,775.66","2,703.79","2,775.60"
02-08-2019,"2,706.49","2,738.98","2,681.83","2,707.88"
02-01-2019,"2,644.97","2,716.66","2,624.06","2,706.53"
