Date,Open,High,Low,Close
12/29/2023,"7,509.30","7,614.30","7,509.30","7,590.80"
12/22/2023,"7,436.90","7,552.30","7,406.40","7,501.60"
12/15/2023,"7,194.20","7,462.20","7,189.90","7,442.70"
12-08-2023,"7,096.50","7,194.90","7,041.10","7,194.90"
12-01-2023,"7,036.70","7,087.30","6,985.50","7,073.20"
11/24/2023,"7,052.60","7,090.40","7,026.90","7,040.80"
11/17/2023,"6,979.30","7,125.60","6,948.80","7,049.40"
11-10-2023,"6,978.00","7,045.50","6,951.90","6,976.50"
11-03-2023,"6,829.50","6,989.40","6,751.30","6,978.20"
10/27/2023,"6,880.70","6,897.40","6,777.40","6,826.90"
10/20/2023,"7,048.80","7,100.30","6,878.30","6,900.70"
10/13/2023,"6,966.20","7,112.70","6,963.50","7,051.00"
10-06-2023,"7,046.00","7,051.50","6,871.00","6,954.20"
09/29/2023,"7,065.00","7,076.50","7,002.80","7,048.60"
09/22/2023,"7,273.60","7,274.50","6,957.20","7,068.80"
09/15/2023,"7,161.40","7,319.80","7,134.00","7,279.00"
09-08-2023,"7,293.90","7,340.90","7,134.80","7,156.70"
09-01-2023,"7,120.80","7,317.90","7,120.80","7,278.30"
08/25/2023,"7,145.80","7,194.40","7,090.00","7,115.20"
08/18/2023,"7,330.30","7,331.00","7,106.80","7,148.10"
08-11-2023,"7,321.40","7,361.20","7,294.60","7,340.10"
08-04-2023,"7,408.40","7,470.10","7,285.50","7,325.30"
07/28/2023,"7,313.30","7,472.30","7,306.40","7,403.60"
07/21/2023,"7,300.10","7,383.30","7,261.10","7,313.90"
07/14/2023,"7,050.20","7,313.70","6,998.10","7,303.10"
07-07-2023,"7,204.80","7,285.80","7,023.60","7,042.30"
06/30/2023,"7,098.40","7,223.20","7,054.80","7,203.30"
06/23/2023,"7,248.10","7,368.40","7,087.90","7,099.20"
06/16/2023,"7,113.80","7,262.10","7,101.30","7,251.20"
06-09-2023,"7,173.30","7,233.20","7,093.50","7,122.50"
06-02-2023,"7,177.40","7,254.80","7,077.90","7,145.10"
05/26/2023,"7,278.50","7,288.10","7,129.00","7,154.80"
05/19/2023,"7,258.80","7,292.60","7,159.80","7,279.50"
05-12-2023,"7,220.20","7,292.40","7,220.20","7,256.70"
05-05-2023,"7,317.60","7,368.00","7,141.80","7,220.00"
04/28/2023,"7,314.30","7,332.60","7,275.30","7,309.20"
04/21/2023,"7,361.80","7,391.20","7,314.90","7,330.40"
04/14/2023,"7,235.10","7,370.10","7,235.10","7,361.60"
04-06-2023,"7,190.80","7,262.10","7,187.40","7,219.00"
