Date,Open,High,Low,Close,,
12-28-2023,"1,34,193.59","1,34,391.67","1,33,832.26","1,34,185.24",,
12-27-2023,"1,33,523.40","1,34,195.47","1,33,328.39","1,34,193.72",,
12-26-2023,"1,32,752.95","1,33,644.66","1,32,752.95","1,33,532.92",,
12-22-2023,"1,32,552.78","1,33,035.32","1,32,093.76","1,32,752.93",,
12-21-2023,"1,30,826.19","1,32,276.94","1,30,822.35","1,32,182.01",,
12-20-2023,"1,31,850.90","1,32,340.75","1,30,709.80","1,30,804.17",,
12-19-2023,"1,31,087.69","1,32,046.94","1,31,085.81","1,31,850.90",,
12-18-2023,"1,30,202.35","1,31,447.27","1,30,198.41","1,31,083.82",,
12-15-2023,"1,30,841.93","1,31,661.25","1,29,883.62","1,30,197.10",,
12-14-2023,"1,29,469.02","1,31,259.81","1,29,469.02","1,30,842.09",,
12-13-2023,"1,26,406.22","1,29,793.35","1,26,298.76","1,29,465.08",,
12-12-2023,"1,26,922.95","1,27,359.19","1,26,013.15","1,26,403.03",,
12-11-2023,"1,27,092.79","1,27,153.64","1,26,526.12","1,26,916.41",,
12-08-2023,"1,26,009.57","1,27,289.43","1,25,562.34","1,27,093.57",,
12-07-2023,"1,25,622.65","1,26,581.04","1,25,565.53","1,26,009.57",,
12-06-2023,"1,26,906.70","1,27,537.55","1,25,614.35","1,25,622.65",,
12-05-2023,"1,26,802.40","1,27,488.56","1,26,491.48","1,26,903.25",,
12-04-2023,"1,28,182.88","1,28,182.88","1,26,643.22","1,26,802.79",,
12-01-2023,"1,27,331.12","1,28,184.91","1,26,655.67","1,28,184.91",,
11-30-2023,"1,26,168.35","1,27,398.69","1,26,168.35","1,27,331.12",,
11-29-2023,"1,26,540.64","1,27,388.15","1,26,017.97","1,26,165.64",,
11-28-2023,"1,25,725.69","1,26,916.00","1,25,387.96","1,26,538.32",,
11-27-2023,"1,25,517.27","1,25,826.08","1,24,839.65","1,25,731.45",,
11-24-2023,"1,26,552.58","1,26,552.58","1,25,341.01","1,25,517.27",,
11-23-2023,"1,26,034.62","1,26,759.88","1,25,763.78","1,26,575.75",,
11-22-2023,"1,25,626.20","1,26,875.11","1,25,439.03","1,26,035.30",,
11-21-2023,"1,25,957.06","1,25,957.06","1,25,059.77","1,25,626.03",,
11-20-2023,"1,24,773.21","1,26,162.01","1,24,773.21","1,25,957.06",,
11-17-2023,"1,24,639.24","1,25,431.07","1,24,546.59","1,24,773.21",,
11-16-2023,"1,23,165.30","1,24,736.97","1,23,165.30","1,24,639.24",,
11-14-2023,"1,20,410.51","1,23,370.35","1,20,410.51","1,23,165.76",,
11-13-2023,"1,20,561.18","1,20,606.30","1,19,878.23","1,20,410.17",,
11-10-2023,"1,19,035.85","1,20,822.77","1,19,035.85","1,20,568.14",,
11-09-2023,"1,19,180.45","1,20,256.62","1,18,445.86","1,19,034.14",,
11-08-2023,"1,19,268.06","1,19,975.84","1,18,463.87","1,19,176.67",,
11-07-2023,"1,18,422.18","1,19,576.62","1,18,026.33","1,19,268.06",,
11-06-2023,"1,18,159.97","1,18,757.52","1,18,044.82","1,18,431.25",,
11-03-2023,"1,15,062.37","1,18,501.80","1,15,062.37","1,18,159.97",,
11-01-2023,"1,13,156.70","1,15,433.25","1,13,156.70","1,15,052.96",,
10-31-2023,"1,12,534.49","1,13,597.32","1,12,098.12","1,13,143.67",,
10-30-2023,"1,13,303.16","1,14,204.07","1,12,308.50","1,12,531.52",,
10-27-2023,"1,14,776.86","1,15,341.65","1,12,953.38","1,13,301.35",,
10-26-2023,"1,12,840.03","1,14,885.61","1,12,840.03","1,14,776.86",,
10-25-2023,"1,13,761.90","1,14,318.65","1,12,680.27","1,12,829.97",,
10-24-2023,"1,12,813.83","1,14,248.72","1,12,813.83","1,13,761.90",,
10-23-2023,"1,13,144.74","1,13,679.63","1,12,164.36","1,12,784.52",,
10-20-2023,"1,13,996.28","1,14,089.58","1,12,533.33","1,13,155.28",,
10-19-2023,"1,14,059.49","1,15,062.61","1,13,767.75","1,14,004.30",,
10-18-2023,"1,15,907.04","1,15,907.04","1,13,952.11","1,14,059.64",,
10-17-2023,"1,16,526.43","1,16,916.68","1,15,563.93","1,15,908.43",,
10-16-2023,"1,15,759.93","1,16,905.38","1,15,759.93","1,16,533.85",,
10-13-2023,"1,17,049.99","1,17,070.35","1,15,658.27","1,15,754.08",,
10-11-2023,"1,16,736.95","1,17,098.64","1,16,231.22","1,17,050.74",,
10-10-2023,"1,15,157.90","1,16,899.51","1,15,157.90","1,16,736.95",,
10-09-2023,"1,14,168.99","1,15,218.65","1,13,448.18","1,15,156.07",,
10-06-2023,"1,13,282.50","1,14,491.00","1,11,598.57","1,14,169.63",,
10-05-2023,"1,13,608.78","1,14,359.33","1,12,704.87","1,13,284.08",,
10-04-2023,"1,13,430.05","1,14,075.29","1,13,036.30","1,13,607.45",,
10-03-2023,"1,15,054.87","1,15,055.63","1,13,150.89","1,13,419.04",,
10-02-2023,"1,16,565.17","1,16,672.30","1,14,761.10","1,15,056.86",,
09-29-2023,"1,15,742.27","1,16,899.02","1,15,742.27","1,16,565.17",,
09-28-2023,"1,14,327.05","1,15,953.65","1,14,180.49","1,15,730.76",,
09-27-2023,"1,14,193.43","1,15,340.41","1,13,365.75","1,14,327.05",,
09-26-2023,"1,15,922.45","1,15,922.45","1,14,162.28","1,14,193.43",,
09-25-2023,"1,16,008.64","1,16,030.83","1,15,573.35","1,15,924.61",,
09-22-2023,"1,16,147.03","1,16,967.50","1,15,855.48","1,16,008.64",,
09-21-2023,"1,18,695.09","1,18,695.09","1,16,012.92","1,16,145.05",,
09-20-2023,"1,17,863.67","1,19,615.70","1,17,846.51","1,18,695.32",,
09-19-2023,"1,18,293.14","1,18,457.81","1,17,627.67","1,17,845.78",,
09-18-2023,"1,18,758.67","1,19,485.90","1,18,122.66","1,18,288.21",,
09-15-2023,"1,19,392.62","1,19,780.20","1,18,666.46","1,18,757.53",,
09-14-2023,"1,18,181.15","1,19,748.08","1,18,181.15","1,19,391.55",,
09-13-2023,"1,17,968.12","1,19,317.66","1,17,721.83","1,18,175.97",,
09-12-2023,"1,16,885.04","1,18,153.67","1,16,885.04","1,17,968.12",,
09-11-2023,"1,15,315.94","1,17,130.81","1,15,315.94","1,16,883.34",,
09-08-2023,"1,15,979.43","1,15,979.43","1,14,838.85","1,15,313.40",,
