Date,Open,High,Low,Close
12/29/2023,"3,411.11","3,432.54","3,409.58","3,431.11"
12/28/2023,"3,414.54","3,423.40","3,331.21","3,414.54"
12/27/2023,"3,326.93","3,341.27","3,309.67","3,336.36"
12/26/2023,"3,345.40","3,345.42","3,315.94","3,324.79"
12/25/2023,"3,330.33","3,348.88","3,330.33","3,347.45"
12/22/2023,"3,329.47","3,359.06","3,315.90","3,337.23"
12/21/2023,"3,285.61","3,339.36","3,283.99","3,330.87"
12/20/2023,"3,334.33","3,338.54","3,297.37","3,297.50"
12/19/2023,"3,325.66","3,345.78","3,313.19","3,334.04"
12/18/2023,"3,329.19","3,352.35","3,314.91","3,329.37"
12/15/2023,"3,365.94","3,388.50","3,339.52","3,341.55"
12/14/2023,"3,387.38","3,399.14","3,350.77","3,351.96"
12/13/2023,"3,418.64","3,418.64","3,369.61","3,369.61"
12/12/2023,"3,410.00","3,427.55","3,406.10","3,426.80"
12/11/2023,"3,378.05","3,426.61","3,346.89","3,419.45"
12/08/2023,"3,391.86","3,409.38","3,383.45","3,399.46"
12/07/2023,"3,394.31","3,404.41","3,369.77","3,391.28"
12/06/2023,"3,387.88","3,420.28","3,382.95","3,399.60"
12/05/2023,"3,450.09","3,450.09","3,393.81","3,394.26"
12/04/2023,"3,481.05","3,488.13","3,459.61","3,460.14"
12/01/2023,"3,494.22","3,494.22","3,452.17","3,482.88"
11/30/2023,"3,485.52","3,505.13","3,481.45","3,496.20"
11/29/2023,"3,518.88","3,519.20","3,482.24","3,488.31"
11/28/2023,"3,510.66","3,521.05","3,501.11","3,518.52"
11/27/2023,"3,534.44","3,534.44","3,492.86","3,511.94"
11/24/2023,"3,560.65","3,560.65","3,534.00","3,538.01"
11/23/2023,"3,541.44","3,562.07","3,529.94","3,561.52"
11/22/2023,"3,569.44","3,574.38","3,544.42","3,544.42"
11/21/2023,"3,587.88","3,615.06","3,575.68","3,581.07"
11/20/2023,"3,569.73","3,586.97","3,545.10","3,576.32"
11/17/2023,"3,561.31","3,573.68","3,547.03","3,568.07"
11/16/2023,"3,600.98","3,605.29","3,572.36","3,572.36"
11/15/2023,"3,616.88","3,620.60","3,596.92","3,607.25"
11/14/2023,"3,581.10","3,600.15","3,568.88","3,582.06"
11/13/2023,"3,593.91","3,599.39","3,562.77","3,579.41"
11/10/2023,"3,596.07","3,599.45","3,576.10","3,586.49"
11/09/2023,"3,603.11","3,624.41","3,601.37","3,612.83"
11/08/2023,"3,610.64","3,627.05","3,591.82","3,611.07"
11/07/2023,"3,623.79","3,628.46","3,606.30","3,619.76"
11/06/2023,"3,608.32","3,635.79","3,600.63","3,632.61"
11/03/2023,"3,558.53","3,596.10","3,558.53","3,584.14"
11/02/2023,"3,580.07","3,597.17","3,553.74","3,554.19"
11/01/2023,"3,605.76","3,606.41","3,564.64","3,571.03"
10/31/2023,"3,581.68","3,581.68","3,554.58","3,572.51"
10/30/2023,"3,554.11","3,592.72","3,554.02","3,583.77"
10/27/2023,"3,501.17","3,576.59","3,494.55","3,562.39"
10/26/2023,"3,484.78","3,515.57","3,478.05","3,514.14"
10/25/2023,"3,524.30","3,531.83","3,500.92","3,504.46"
10/24/2023,"3,481.76","3,495.00","3,453.10","3,487.13"
10/23/2023,"3,500.20","3,505.35","3,450.65","3,474.24"
10/20/2023,"3,518.35","3,535.66","3,501.73","3,510.59"
10/19/2023,"3,533.54","3,588.52","3,532.31","3,533.54"
10/18/2023,"3,631.07","3,632.06","3,608.98","3,610.58"
10/17/2023,"3,635.30","3,639.40","3,639.40","3,639.40"
10/16/2023,"3,664.04","3,664.04","3,615.77","3,626.60"
10/13/2023,"3,663.41","3,678.19","3,652.31","3,663.41"
10/12/2023,"3,702.38","3,711.50","3,682.84","3,702.38"
10/11/2023,"3,667.55","3,689.53","3,658.36","3,667.55"
10/10/2023,"3,696.25","3,701.26","3,655.59","3,657.13"
10/09/2023,"3,678.93","3,694.17","3,642.00","3,684.73"
09/28/2023,"3,711.21","3,716.06","3,685.30","3,689.52"
09/27/2023,"3,694.96","3,731.14","3,694.39","3,700.50"
09/26/2023,"3,711.71","3,723.85","3,692.62","3,692.89"
09/25/2023,"3,714.60","3,738.06","3,711.20","3,714.60"
09/22/2023,"3,672.64","3,740.42","3,664.77","3,738.93"
09/21/2023,"3,698.31","3,708.46","3,672.44","3,672.44"
09/20/2023,"3,715.96","3,718.52","3,705.13","3,705.69"
09/19/2023,"3,723.42","3,724.07","3,702.69","3,720.50"
09/18/2023,"3,727.71","3,737.53","3,691.11","3,727.71"
09/15/2023,"3,708.78","3,749.02","3,699.38","3,708.78"
09/14/2023,"3,736.94","3,748.82","3,717.31","3,733.51"
09/13/2023,"3,736.65","3,768.82","3,719.11","3,736.65"
09/12/2023,"3,764.33","3,775.09","3,755.42","3,760.60"
09/11/2023,"3,740.58","3,788.32","3,734.72","3,767.54"
09/08/2023,"3,747.65","3,753.26","3,724.99","3,739.99"
09/07/2023,"3,802.23","3,758.47","3,758.47","3,758.47"
09/06/2023,"3,808.10","3,817.52","3,790.90","3,812.03"
