Date,Open,High,Low,Close,Volume
12/28/2023,..26.92,..27.85,..27.05,..26.92,"4,237"
12/27/2023,..26.54,..27.67,..26.81,..26.54,"4,010"
12/26/2023,..26.79,..27.60,..26.90,..26.79,"3,959"
12/25/2023,..26.35,..27.80,..26.82,..26.35,"4,138"
12/21/2023,..27.47,..28.20,..27.10,..27.47,"4,945"
12/20/2023,..27.73,..28.39,..27.80,..27.73,"3,306"
12/19/2023,..28.01,..28.50,..28.00,..28.01,"5,078"
12/18/2023,..27.42,..28.29,..27.60,..27.42,"6,204"
12/14/2023,..27.40,..28.15,..27.30,..27.96,"11,428"
12/13/2023,..26.63,..27.58,..26.73,..26.63,"9,328"
12-12-2023,..26.75,..27.55,..26.81,..26.75,"5,140"
12-11-2023,..26.76,..27.79,..26.65,..26.76,"8,730"
12-07-2023,..27.32,..27.95,..27.16,..27.32,"4,922"
12-06-2023,..27.79,..28.39,..27.41,..27.79,"9,887"
12-05-2023,..27.94,..28.50,..27.72,..27.94,"3,819"
12-04-2023,..27.18,..28.10,..27.51,..27.18,"4,903"
11/30/2023,..27.39,..28.05,..27.41,..27.39,"9,611"
11/29/2023,..27.78,..28.75,..27.40,..27.78,"10,506"
11/28/2023,..28.63,..28.98,..28.21,..28.80,"11,431"
11/27/2023,..27.98,..28.98,..28.50,..27.98,"10,186"
11/23/2023,..27.69,..28.75,..27.76,..27.69,"9,140"
11/22/2023,..27.41,..28.00,..27.10,..27.38,"12,337"
11/21/2023,..27.40,..28.30,..27.40,..27.81,"14,241"
11/20/2023,..27.55,..28.30,..27.02,..27.78,"12,765"
11/16/2023,..26.72,..27.40,..26.70,..26.72,"8,681"
11/15/2023,..26.46,..27.15,..26.54,..26.46,"5,226"
11/14/2023,..26.53,..27.19,..26.80,..26.53,"3,764"
11/13/2023,..26.47,..27.15,..26.70,..26.47,"2,003"
11-09-2023,..26.56,..27.30,..26.22,..26.56,"3,268"
11-08-2023,..25.92,..26.50,..25.73,..25.92,"4,553"
11-07-2023,..25.54,..26.35,..25.60,..25.54,"6,134"
11-06-2023,..25.55,..26.33,..25.55,..25.55,"4,635"
11-02-2023,..24.83,..25.85,..25.40,..24.83,"1,391"
11-01-2023,..24.96,..25.98,..25.35,..24.96,"2,956"
10/31/2023,..25.94,..26.00,..25.27,..25.94,842
10/30/2023,..25.56,..26.25,..25.22,..25.56,"10,216"
10/26/2023,..25.61,..25.90,..24.53,..25.61,"9,881"
10/25/2023,..24.78,..25.05,..24.31,..24.78,"2,034"
10/24/2023,..24.66,..25.15,..24.21,..24.66,"2,519"
10/23/2023,..24.18,..24.95,..24.25,..24.18,"3,590"
10/19/2023,..24.17,..25.45,..24.01,..24.74,"15,665"
10/18/2023,..24.12,..24.99,..24.10,..24.91,"12,488"
10/17/2023,..22.98,..24.80,..22.84,..22.98,"7,009"
10/16/2023,..22.21,..22.85,..22.45,..22.21,751
10-12-2023,..21.49,..22.25,..21.60,..21.49,"4,576"
10-11-2023,..21.57,..22.14,..21.80,..21.57,934
10-10-2023,..21.22,..22.14,..21.80,..21.22,"2,596"
10-09-2023,..21.17,..22.00,..21.40,..21.17,"1,814"
10-04-2023,..21.55,..22.05,..21.50,..21.55,"1,233"
10-03-2023,..21.76,..22.15,..22.00,..21.76,"4,432"
10-02-2023,..21.93,..22.30,..21.45,..21.93,"1,924"
09/27/2023,..22.27,..22.65,..21.75,..22.27,"3,629"
09/26/2023,..22.23,..22.68,..22.17,..22.23,"1,026"
09/25/2023,..22.12,..22.70,..22.07,..22.12,"5,555"
09/21/2023,..21.66,..22.15,..21.36,..21.66,"4,073"
09/20/2023,..21.83,..22.10,..21.75,..21.83,778
09/19/2023,..21.61,..22.00,..21.30,..21.61,"1,328"
09/18/2023,..21.52,..21.80,..21.22,..21.52,"1,167"
09/14/2023,..21.19,..21.60,..21.10,..21.44,"21,163"
09/13/2023,..20.96,..21.35,..21.22,..20.96,874
09-12-2023,..21.10,..21.49,..21.00,..21.10,945
09-11-2023,..21.43,..21.60,..21.00,..21.43,"7,567"
09-07-2023,..21.05,..21.30,..20.81,..21.05,972
09-06-2023,..20.85,..21.19,..20.63,..20.85,852
09-05-2023,..20.71,..22.25,..20.60,..20.71,"1,113"
09-04-2023,..20.51,..21.00,..20.42,..20.51,780
08/31/2023,..20.61,..20.60,..20.18,..20.61,519
08/30/2023,..20.40,..20.61,..20.20,..20.40,603
08/29/2023,..20.35,..20.40,..20.17,..20.35,361
08/28/2023,..20.28,..20.65,..20.00,..20.28,"1,604"
08/24/2023,..19.87,..19.70,..19.20,..19.87,"1,659"
08/23/2023,..19.96,..19.55,..19.31,..19.96,112
08/22/2023,..19.64,..19.50,..19.31,..19.64,608
08/21/2023,..19.75,..19.50,..19.22,..19.75,286
08/17/2023,..19.79,..19.45,..19.20,..19.79,391
08/16/2023,..19.68,..19.45,..19.12,..19.68,"3,478"
08/15/2023,..19.61,..19.31,..19.07,..19.61,"1,811"
08/14/2023,..19.57,..19.31,..19.05,..19.57,"1,135"
08-10-2023,..19.47,..19.30,..19.01,..19.47,474
08-09-2023,..19.45,..19.30,..19.16,..19.45,"1,072"
08-08-2023,..19.56,..19.25,..19.16,..19.56,313
08-07-2023,..19.40,..19.29,..19.04,..19.40,"4,509"
08-03-2023,..19.14,..19.24,..18.86,..19.14,"1,054"
08-02-2023,..19.21,..19.24,..18.51,..19.21,"6,030"
08-01-2023,..19.32,..19.24,..18.91,..19.32,"1,292"
07/31/2023,..19.28,..19.20,..18.91,..19.28,783
07/27/2023,..19.11,..19.18,..18.90,..19.11,957
07/26/2023,..19.20,..19.18,..18.92,..19.20,658
07/25/2023,..19.28,..19.19,..18.94,..19.28,881
07/24/2023,..19.31,..19.19,..18.92,..19.31,798
07/19/2023,..19.34,..19.19,..18.90,..19.34,"1,516"
07/18/2023,..19.24,..19.19,..18.90,..19.24,253
07/17/2023,..19.06,..19.19,..18.76,..19.06,769
07/13/2023,..18.85,..19.27,..18.65,..18.85,981
07-12-2023,..18.86,..19.00,..18.60,..18.86,228
07-11-2023,..18.65,..19.25,..18.71,..18.65,544
07-10-2023,..18.21,..19.28,..18.50,..18.21,747
07-06-2023,..19.11,..19.33,..19.00,..19.11,"1,846"
07-05-2023,..19.20,..19.20,..19.00,..19.20,224
07-04-2023,..19.42,..19.35,..18.83,..19.42,"1,433"
06/26/2023,..19.02,..19.34,..18.80,..19.02,"2,959"
06/22/2023,..19.47,..19.46,..18.96,..19.47,395
06/21/2023,..19.70,..19.50,..19.02,..19.70,452
06/20/2023,..19.78,..19.50,..19.35,..19.78,"1,879"
06/19/2023,..19.82,..19.50,..19.35,..19.82,988
06/15/2023,..19.65,..19.19,..19.02,..19.65,609
06/14/2023,..19.65,..19.19,..19.01,..19.65,426
06/13/2023,..19.47,..19.19,..19.00,..19.47,"1,520"
06-12-2023,..19.51,..19.19,..19.00,..19.51,406
06-08-2023,..19.09,..19.15,..18.79,..19.09,"1,417"
06-07-2023,..19.24,..19.15,..18.82,..19.24,946
06-06-2023,..19.08,..19.16,..18.83,..19.08,"2,041"
06-05-2023,..19.20,..19.24,..18.81,..19.20,"1,048"
06-01-2023,..19.25,..19.37,..18.93,..19.25,"1,204"
05/31/2023,..19.32,..19.44,..18.91,..19.32,"2,438"
05/30/2023,..18.98,..19.39,..18.83,..18.98,"1,251"
05/29/2023,..18.87,..19.44,..18.67,..18.87,"1,783"
05/25/2023,..18.83,..19.05,..18.60,..18.83,"1,071"
05/24/2023,..18.50,..18.93,..18.56,..18.50,"1,530"
05/23/2023,..18.48,..18.96,..18.56,..18.48,290
05/22/2023,..18.58,..18.98,..18.55,..18.58,"1,897"
05/18/2023,..18.56,..19.07,..18.52,..18.56,296
05/17/2023,..18.75,..19.19,..18.90,..18.75,"1,481"
05/16/2023,..18.86,..19.35,..18.90,..18.86,994
05/15/2023,..19.08,..19.25,..18.87,..19.08,"1,361"
05-11-2023,..19.22,..19.40,..19.00,..19.22,"1,279"
05-10-2023,..19.10,..19.10,..19.00,..19.00,"1,224"
05-09-2023,..19.34,..19.69,..19.00,..19.34,"3,893"
05-08-2023,..18.90,..19.70,..19.11,..18.90,"3,467"
05-03-2023,..18.98,..19.55,..18.75,..18.98,887
05-02-2023,..18.99,..19.76,..18.73,..18.99,"2,657"
05-01-2023,..19.37,..19.79,..18.71,..19.37,"1,347"
04/27/2023,..19.14,..19.30,..18.80,..19.14,"3,838"
04/26/2023,..19.21,..19.00,..18.61,..19.21,"2,881"
04/19/2023,..19.24,..18.90,..18.51,..19.24,"5,418"
04/18/2023,..19.36,..18.75,..18.37,..19.36,"3,602"
04/13/2023,..18.36,..18.60,..18.11,..18.36,972
04-12-2023,..18.53,..18.69,..18.03,..18.53,"2,463"
04-11-2023,..18.27,..18.55,..18.02,..18.27,742
04-10-2023,..18.16,..18.60,..18.01,..18.16,227
04-06-2023,..18.54,..18.83,..17.65,..18.54,926
04-05-2023,..18.52,..18.89,..18.35,..18.52,"4,120"
04-04-2023,..18.53,..18.89,..18.39,..18.53,"3,655"
04-03-2023,..18.13,..18.87,..18.05,..18.13,"3,076"
03/30/2023,..17.84,..18.49,..17.60,..17.84,"3,441"
03/29/2023,..17.29,..17.59,..17.20,..17.29,"3,496"
03/28/2023,..17.34,..17.30,..16.71,..17.34,"1,190"
03/27/2023,..17.38,..17.30,..17.00,..17.38,214
03/23/2023,..16.59,..17.29,..17.00,..16.59,662
03/22/2023,..16.67,..17.29,..16.51,..16.67,"1,108"
