Date,Open,High,Low,Close
12/29/2023,"7,722.74","7,746.91","7,719.02","7,733.24"
12/28/2023,"7,724.95","7,745.99","7,708.74","7,722.74"
12/27/2023,"7,697.51","7,759.74","7,697.51","7,724.95"
12/22/2023,"7,694.73","7,715.21","7,676.43","7,697.51"
12/21/2023,"7,715.68","7,715.68","7,668.41","7,694.73"
12/20/2023,"7,638.03","7,762.88","7,637.93","7,715.68"
12/19/2023,"7,614.48","7,642.15","7,605.35","7,638.03"
12/18/2023,"7,576.36","7,630.57","7,557.24","7,614.48"
12/15/2023,"7,648.98","7,668.22","7,569.00","7,576.36"
12/14/2023,"7,548.44","7,724.81","7,548.44","7,648.98"
12/13/2023,"7,542.77","7,584.88","7,542.68","7,548.44"
12-12-2023,"7,544.89","7,607.51","7,542.37","7,542.77"
12-11-2023,"7,554.47","7,557.40","7,493.59","7,544.89"
12-08-2023,"7,513.72","7,581.32","7,509.83","7,554.47"
12-07-2023,"7,515.38","7,523.57","7,480.49","7,513.72"
12-06-2023,"7,489.84","7,542.57","7,486.80","7,515.38"
12-05-2023,"7,512.96","7,512.96","7,460.21","7,489.84"
12-04-2023,"7,529.35","7,533.81","7,476.85","7,512.96"
12-01-2023,"7,453.75","7,538.71","7,453.75","7,529.35"
11/30/2023,"7,423.46","7,497.68","7,387.09","7,453.75"
11/29/2023,"7,455.24","7,457.48","7,408.79","7,423.46"
11/28/2023,"7,460.70","7,461.13","7,403.25","7,455.24"
11/27/2023,"7,488.20","7,488.26","7,452.18","7,460.70"
11/24/2023,"7,483.58","7,494.72","7,450.12","7,488.20"
11/23/2023,"7,469.51","7,494.77","7,450.60","7,483.58"
11/22/2023,"7,481.99","7,504.51","7,452.00","7,469.51"
11/21/2023,"7,496.36","7,496.86","7,446.68","7,481.99"
11/20/2023,"7,504.25","7,506.00","7,472.65","7,496.36"
11/17/2023,"7,410.97","7,509.00","7,410.00","7,504.25"
11/16/2023,"7,486.91","7,492.84","7,409.40","7,410.97"
11/15/2023,"7,440.47","7,533.77","7,440.47","7,486.91"
11/14/2023,"7,425.83","7,456.63","7,386.66","7,440.47"
11/13/2023,"7,360.55","7,426.14","7,360.55","7,425.83"
11-10-2023,"7,455.67","7,455.67","7,319.96","7,360.55"
11-09-2023,"7,401.72","7,465.31","7,367.21","7,455.67"
11-08-2023,"7,410.04","7,442.09","7,384.51","7,401.72"
11-07-2023,"7,417.76","7,431.14","7,397.40","7,410.04"
11-06-2023,"7,417.73","7,448.36","7,403.51","7,417.76"
11-03-2023,"7,446.53","7,482.73","7,396.57","7,417.73"
11-02-2023,"7,342.43","7,469.75","7,342.43","7,446.53"
11-01-2023,"7,321.72","7,385.39","7,304.89","7,342.43"
10/31/2023,"7,327.39","7,373.53","7,309.04","7,321.72"
10/30/2023,"7,291.28","7,361.50","7,291.28","7,327.39"
10/27/2023,"7,354.57","7,380.33","7,279.86","7,291.28"
10/26/2023,"7,414.34","7,414.34","7,342.48","7,354.57"
10/25/2023,"7,389.70","7,428.11","7,368.38","7,414.34"
10/24/2023,"7,374.83","7,405.26","7,324.99","7,389.70"
10/23/2023,"7,402.14","7,402.20","7,338.59","7,374.83"
10/20/2023,"7,499.53","7,499.62","7,395.57","7,402.14"
10/19/2023,"7,588.00","7,588.00","7,490.46","7,499.53"
10/18/2023,"7,675.21","7,681.50","7,579.26","7,588.00"
10/17/2023,"7,630.63","7,682.63","7,616.77","7,675.21"
10/16/2023,"7,599.60","7,651.27","7,584.64","7,630.63"
10/13/2023,"7,644.78","7,660.05","7,590.72","7,599.60"
10-12-2023,"7,620.03","7,687.91","7,620.03","7,644.78"
10-11-2023,"7,628.21","7,651.98","7,608.67","7,620.03"
10-10-2023,"7,492.21","7,637.41","7,492.21","7,628.21"
10-09-2023,"7,494.58","7,540.57","7,473.19","7,492.21"
10-06-2023,"7,451.54","7,496.42","7,423.36","7,494.58"
10-05-2023,"7,412.45","7,488.60","7,409.74","7,451.54"
10-04-2023,"7,470.16","7,490.18","7,384.20","7,412.45"
10-03-2023,"7,510.72","7,545.67","7,466.62","7,470.16"
10-02-2023,"7,608.08","7,630.41","7,491.30","7,510.72"
09/29/2023,"7,601.85","7,674.19","7,601.85","7,608.08"
09/28/2023,"7,593.22","7,605.55","7,524.11","7,601.85"
09/27/2023,"7,625.72","7,645.55","7,577.23","7,593.22"
09/26/2023,"7,623.99","7,656.94","7,593.54","7,625.72"
09/25/2023,"7,683.91","7,684.82","7,580.81","7,623.99"
09/22/2023,"7,678.62","7,735.16","7,640.80","7,683.91"
09/21/2023,"7,731.65","7,746.53","7,674.70","7,678.62"
09/20/2023,"7,660.20","7,741.90","7,659.61","7,731.65"
09/19/2023,"7,652.94","7,682.38","7,642.36","7,660.20"
09/18/2023,"7,711.38","7,720.14","7,641.76","7,652.94"
09/15/2023,"7,673.08","7,745.82","7,673.08","7,711.38"
09/14/2023,"7,525.99","7,686.96","7,525.99","7,673.08"
09/13/2023,"7,527.53","7,545.16","7,490.37","7,525.99"
09-12-2023,"7,496.87","7,550.24","7,496.34","7,527.53"
09-11-2023,"7,478.19","7,549.34","7,467.35","7,496.87"
09-08-2023,"7,441.72","7,480.64","7,402.10","7,478.19"
09-07-2023,"7,426.14","7,462.18","7,385.92","7,441.72"
09-06-2023,"7,437.93","7,447.94","7,369.64","7,426.14"
09-05-2023,"7,452.76","7,481.35","7,389.80","7,437.93"
09-04-2023,"7,464.54","7,523.40","7,448.31","7,452.76"
09-01-2023,"7,439.13","7,492.63","7,439.13","7,464.54"
08/31/2023,"7,473.67","7,500.44","7,439.13","7,439.13"
08/30/2023,"7,464.99","7,509.36","7,464.73","7,473.67"
08/29/2023,"7,338.58","7,471.14","7,338.58","7,464.99"
08/25/2023,"7,333.63","7,389.40","7,326.97","7,338.58"
08/24/2023,"7,320.53","7,386.08","7,320.53","7,333.63"
08/23/2023,"7,270.76","7,348.84","7,270.76","7,320.53"
08/22/2023,"7,257.82","7,310.52","7,257.58","7,270.76"
08/21/2023,"7,262.43","7,315.97","7,250.88","7,257.82"
08/18/2023,"7,310.21","7,310.21","7,215.76","7,262.43"
08/17/2023,"7,356.88","7,356.96","7,305.00","7,310.21"
08/16/2023,"7,389.64","7,398.20","7,338.53","7,356.88"
08/15/2023,"7,507.15","7,508.58","7,369.69","7,389.64"
08/14/2023,"7,524.16","7,530.25","7,476.45","7,507.15"
08-11-2023,"7,618.60","7,618.60","7,507.84","7,524.16"
08-10-2023,"7,587.30","7,622.92","7,572.61","7,618.60"
08-09-2023,"7,527.42","7,600.79","7,527.42","7,587.30"
08-08-2023,"7,554.49","7,554.49","7,487.47","7,527.42"
08-07-2023,"7,564.37","7,564.95","7,505.15","7,554.49"
08-04-2023,"7,529.16","7,569.55","7,487.36","7,564.37"
08-03-2023,"7,561.63","7,562.13","7,437.88","7,529.16"
08-02-2023,"7,666.27","7,666.27","7,522.24","7,561.63"
08-01-2023,"7,699.41","7,715.24","7,650.15","7,666.27"
07/31/2023,"7,694.27","7,722.92","7,667.81","7,699.41"
07/28/2023,"7,692.76","7,716.82","7,680.19","7,694.27"
07/27/2023,"7,676.89","7,709.66","7,662.40","7,692.76"
07/26/2023,"7,691.80","7,702.74","7,630.00","7,676.89"
07/25/2023,"7,678.59","7,702.35","7,676.50","7,691.80"
