Date,Open,High,Low,Close,Volume
12/29/2023,"101.29","101.97","100.94","101.26","212,957"
12/28/2023,"101.84","102.32","101.23","101.58","257,607"
12/27/2023,"103.15","103.51","101.94","102.13","255,181"
12/26/2023,"103.81","104.16","102.75","102.78","255,622"
12/22/2023,"103.32","104.25","103.08","103.48","242,340"
12/21/2023,"102.16","103.00","101.85","102.80","298,280"
12/20/2023,"100.90","102.58","100.66","101.53","310,738"
12/19/2023,"101.16","101.96","101.02","101.05","260,748"
12/18/2023,"101.22","101.34","100.39","100.99","260,031"
12/15/2023,"102.06","102.13","100.29","101.08","692,052"
12/14/2023,"100.24","103.03","100.24","102.27","505,507"
12/13/2023,"99.74","100.40","97.69","99.46","484,381"
12/12/2023,"99.43","100.53","98.54","99.62","381,518"
12/11/2023,"98.33","99.32","97.82","99.30","298,223"
12/08/2023,"98.48","99.21","98.08","98.43","379,269"
12/07/2023,"97.56","99.35","97.51","98.22","374,736"
12/06/2023,"96.92","98.38","96.74","97.42","397,642"
12/05/2023,"97.97","98.23","96.51","96.93","445,844"
12/04/2023,"98.08","98.80","97.57","98.22","495,610"
12/01/2023,"97.56","99.01","97.54","98.83","335,544"
11/30/2023,"96.86","97.78","96.66","97.42","466,545"
11/29/2023,"97.87","98.34","96.45","96.67","384,596"
11/28/2023,"98.50","99.15","97.24","97.33","449,768"
11/27/2023,"98.57","99.32","98.57","98.75","394,145"
11/24/2023,"98.70","99.46","98.70","99.01","101,093"
11/22/2023,"98.02","99.20","98.02","98.71","338,606"
11/21/2023,"98.74","99.12","97.84","97.87","276,356"
11/20/2023,"97.81","99.06","97.35","98.71","362,501"
11/17/2023,"98.44","98.81","97.89","98.12","407,718"
11/16/2023,"99.46","100.06","97.75","97.94","585,696"
11/15/2023,"100.62","101.00","98.84","99.28","472,553"
11/14/2023,"98.53","100.97","98.53","100.70","298,473"
11/13/2023,"97.71","98.17","97.17","97.62","378,287"
11/10/2023,"98.08","98.60","97.23","98.58","318,068"
11/09/2023,"97.53","98.53","97.20","97.66","270,946"
11/08/2023,"96.48","97.35","96.21","97.10","350,478"
11/07/2023,"96.68","96.90","95.46","96.30","390,577"
11/06/2023,"97.55","97.81","96.37","97.33","332,041"
11/03/2023,"98.12","98.52","97.35","97.78","350,971"
11/02/2023,"96.32","97.10","96.30","96.97","304,942"
11/01/2023,"94.57","95.42","93.76","95.42","446,057"
10/31/2023,"93.90","95.06","93.76","94.75","366,701"
10/30/2023,"94.57","94.57","93.43","93.84","497,182"
10/27/2023,"93.61","95.29","93.47","93.98","511,785"
10/26/2023,"92.49","94.30","91.93","93.63","747,578"
10/25/2023,"94.90","94.90","91.23","92.51","750,697"
10/24/2023,"96.16","96.19","94.93","95.42","537,720"
