Date,Open,High,Low,Close
12/29/2023,"2,124.25","2,124.25","2,124.25","2,124.25"
12/28/2023,"2,116.07","2,116.07","2,116.07","2,116.07"
12/27/2023,"2,106.01","2,106.01","2,106.01","2,106.01"
12/26/2023,"2,091.17","2,091.17","2,091.17","2,091.17"
12/25/2023,"2,091.17","2,091.17","2,091.17","2,091.17"
12/22/2023,"2,091.17","2,091.17","2,091.17","2,091.17"
12/21/2023,"2,097.23","2,097.23","2,097.23","2,097.23"
12/20/2023,"2,067.74","2,067.74","2,067.74","2,067.74"
12/19/2023,"2,041.09","2,041.09","2,041.09","2,041.09"
12/18/2023,"2,031.66","2,031.66","2,031.66","2,031.66"
12/15/2023,"2,018.08","2,018.08","2,018.08","2,018.08"
12/14/2023,"2,022.89","2,022.89","2,022.89","2,022.89"
12/13/2023,"1,955.57","1,955.57","1,955.57","1,955.57"
12/12/2023,"1,944.22","1,944.22","1,944.22","1,944.22"
12/11/2023,"1,948.33","1,948.33","1,948.33","1,948.33"
12/08/2023,"1,965.80","1,965.80","1,965.80","1,965.80"
12/07/2023,"1,971.25","1,971.25","1,971.25","1,971.25"
12/06/2023,"1,961.16","1,961.16","1,961.16","1,961.16"
12/05/2023,"1,973.74","1,973.74","1,973.74","1,973.74"
12/04/2023,"1,959.65","1,959.65","1,959.65","1,959.65"
12/01/2023,"1,952.15","1,952.15","1,952.15","1,952.15"
11/30/2023,"1,921.25","1,921.25","1,921.25","1,921.25"
11/29/2023,"1,901.60","1,901.60","1,901.60","1,901.60"
11/28/2023,"1,915.78","1,915.78","1,915.78","1,915.78"
11/27/2023,"1,921.50","1,921.50","1,921.50","1,921.50"
11/24/2023,"1,925.22","1,925.22","1,925.22","1,925.22"
11/23/2023,"1,826.68","1,826.68","1,826.68","1,826.68"
11/22/2023,"1,818.64","1,818.64","1,818.64","1,818.64"
11/21/2023,"1,824.38","1,824.38","1,824.38","1,824.38"
11/20/2023,"1,811.52","1,811.52","1,811.52","1,811.52"
11/17/2023,"1,839.52","1,839.52","1,839.52","1,839.52"
11/16/2023,"1,824.19","1,824.19","1,824.19","1,824.19"
11/15/2023,"1,782.99","1,782.99","1,782.99","1,782.99"
11/14/2023,"1,801.51","1,801.51","1,801.51","1,801.51"
11/13/2023,"1,790.11","1,790.11","1,790.11","1,790.11"
11/10/2023,"1,821.30","1,821.30","1,821.30","1,821.30"
11/09/2023,"1,782.78","1,782.78","1,782.78","1,782.78"
11/08/2023,"1,800.69","1,800.69","1,800.69","1,800.69"
11/07/2023,"1,821.12","1,821.12","1,821.12","1,821.12"
11/06/2023,"1,817.75","1,817.75","1,817.75","1,817.75"
11/03/2023,"1,832.85","1,832.85","1,832.85","1,832.85"
11/02/2023,"1,826.96","1,826.96","1,826.96","1,826.96"
11/01/2023,"1,808.02","1,808.02","1,808.02","1,808.02"
10/31/2023,"1,831.34","1,831.34","1,831.34","1,831.34"
10/30/2023,"1,835.60","1,835.60","1,835.60","1,835.60"
10/27/2023,"1,823.25","1,823.25","1,823.25","1,823.25"
